채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
37089676,http://www.jobkorea.co.kr/Recruit/Co_Read/C/buildit2016?Oem_Code=C900&api=232,㈜빌드잇,Web Front-end(프론트엔드) 엔지니어 채용,,관계없음,,0,연봉,2840만원 ~ 3600만원,2840;3600,Y,학력무관,FLASK;JavaScript;소프트웨어개발;웹프로그래머;AJAX;자바스크립트;CSS;CSS3;HTML5;HTML코딩,,잡코리아 온라인 접수,정규직,1,사원급; 팀원,성남시 분당구,2021-04-06,http://www.jobkorea.co.kr/Recruit/GI_Read/33596083?Oem_Code=C900&api=232,,2021-01-06,2021-03-31,0,0,783-**-*****,2021-04-01 02:00,2021-04-02 02:00,Y,Y,2021-04-01
37115140,http://www.jobkorea.co.kr/Recruit/Co_Read/C/binsholic1?Oem_Code=C900&api=232,빈스홀릭,[빈스홀릭] 여성의류 쇼핑몰 웹디자이너 프리랜서(제택근무) 채용공고,,경력,1년 이상,1,건별,25000원,25000;0,N,학력무관,쇼핑몰;포토샵,,잡코리아 온라인 접수; E-메일 입사지원,프리랜서,1,사원급     ,김포시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33625435?Oem_Code=C900&api=232,,2021-01-11,2021-04-02,0,0,436-**-*****,2021-04-03 02:00,2021-04-03 02:00,Y,N,2021-04-03
37125977,http://www.jobkorea.co.kr/Recruit/Co_Read/C/alcom01?Oem_Code=C900&api=232,알컴판넬㈜,알컴판넬 주식회사 자재구매직/사무보조 신입사원채용,,관계없음,,0,월급,180만원,180;0,Y,학력무관,생산관리;현장관리;자재;문서작성;Excel;외주관리;자재구매,,잡코리아 온라인 접수,정규직,1,사원급     ,성남시 중원구; 성남시 분당구,2021-04-12,http://www.jobkorea.co.kr/Recruit/GI_Read/33637572?Oem_Code=C900&api=232,,2021-01-12,2021-04-02,0,0,346-**-*****,2021-04-03 02:01,2021-04-03 02:01,Y,N,2021-04-03
37129436,http://www.jobkorea.co.kr/Recruit/Co_Read/C/wooribyul7?Oem_Code=C900&api=232,㈜우리별,리눅스; 안드로이드; Embedded 개발자 공고,,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(4년),안드로이드;C;C++;Java;Linux;시스템프로그래머;임베디드;펌웨어;소프트웨어,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,안양시 만안구,2021-04-12,http://www.jobkorea.co.kr/Recruit/GI_Read/33641405?Oem_Code=C900&api=232,,2021-01-12,2021-04-01,0,0,137-**-*****,2021-04-02 02:00,2021-04-03 02:00,Y,Y,2021-04-02
37149255,http://www.jobkorea.co.kr/Recruit/Co_Read/C/nhntoast?Oem_Code=C900&api=232,엔에이치엔소프트㈜,[NHN SOFT] Test Engineer 신입 채용,,신입,,0,회사 내규에 따름,,0;0,Y,대졸(2~3년),소프트웨어개발;솔루션;검증;리눅스;테스터;QA;Windows,,홈페이지 지원,계약직,○○,,성남시 분당구; 강남구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33663859?Oem_Code=C900&api=232,,2021-01-15,2021-04-02,0,0,136-**-*****,2021-04-03 02:00,2021-04-03 02:00,Y,N,2021-04-03
37176202,http://www.jobkorea.co.kr/Recruit/Co_Read/C/etou01?Oem_Code=C900&api=232,이투유,PG시스템 자바(JAVA) 개발자 채용,,경력,2년 이상,2,연봉,4000만원 ~ 7000만원,4000;7000,Y,대졸(2~3년),금융;MySQL;Java;jsp,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,주임~대리급; 과장~차장급; 팀원,성남시 수정구,2021-04-15,http://www.jobkorea.co.kr/Recruit/GI_Read/33694960?Oem_Code=C900&api=232,,2021-01-19,2021-03-31,0,0,383-**-*****,2021-04-01 02:00,2021-04-02 02:00,Y,Y,2021-04-01
37178351,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jmt0001?Oem_Code=C900&api=232,㈜드림메카텍,(주)드림메카텍 표면처리팀 팀원을 공개모집합니다.,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,금속;기능직;연마;연삭;그라인딩;도금,,잡코리아 온라인 접수,계약직,○,면접 후 결정; 팀원,화성시; 경기도 전지역,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33697406?Oem_Code=C900&api=232,,2021-01-19,2021-03-31,0,0,143-**-*****,2021-04-01 02:00,2021-04-02 02:00,Y,Y,2021-04-01
37181687,http://www.jobkorea.co.kr/Recruit/Co_Read/C/wyko123?Oem_Code=C900&api=232,나우정보시스템,판교근무-자바개발프로젝트(고급),,경력,6년 이상,6,회사 내규에 따름,,0;0,Y,대졸(2~3년),SI;Java;Oracle,,잡코리아 온라인 접수; E-메일 입사지원,프리랜서,○,,성남시 분당구,2021-04-19,http://www.jobkorea.co.kr/Recruit/GI_Read/33701176?Oem_Code=C900&api=232,,2021-01-19,2021-03-31,0,0,612-**-*****,2021-04-01 02:00,2021-04-02 02:00,Y,Y,2021-04-01
37182387,http://www.jobkorea.co.kr/Recruit/Co_Read/C/butcher6?Oem_Code=C900&api=232,붓처스컷아브뉴프랑판교점,[SG다인힐] 양식브랜드 붓처스컷 판교점 키친 신입/경력 모집,,신입/경력,1년 이상,1,연봉,2520만원 ~ 2880만원,2520;2880,Y,학력무관,양식당;조리사,,잡코리아 온라인 접수,정규직,3,사원급; 주임~대리급,성남시 분당구,2021-04-20,http://www.jobkorea.co.kr/Recruit/GI_Read/33702015?Oem_Code=C900&api=232,,2021-01-20,2021-04-02,0,0,144-**-*****,2021-04-03 02:01,2021-04-03 02:01,Y,N,2021-04-03
37208841,http://www.jobkorea.co.kr/Recruit/Co_Read/C/thewoodlandinc?Oem_Code=C900&api=232,더우드랜드㈜,[더우드랜드] 2021 상반기 웹디자이너 경력직 채용,,경력,2년 이상,2,회사 내규에 따름,,0;0,Y,학력무관,소셜커머스;쇼핑몰;오픈마켓;전자상거래;B2B;포토샵;HTML;시각디자인;일러스트레이터;광고디자인,,잡코리아 온라인 접수,정규직,○,,수원시 팔달구; 경기도 전지역; 화성시; 오산시; 용인시 기흥구; 성남시 분당구,2021-04-22,http://www.jobkorea.co.kr/Recruit/GI_Read/33731873?Oem_Code=C900&api=232,,2021-01-22,2021-04-01,0,0,514-**-*****,2021-04-02 02:00,2021-04-03 02:00,Y,Y,2021-04-02
37224988,http://www.jobkorea.co.kr/Recruit/Co_Read/C/bidfirm?Oem_Code=C900&api=232,입찰법인연,입찰 컨설팅 영업 및 분석; 신입 및 경력 채용안내,,관계없음,,0,연봉,2400만원,2400;0,N,고졸,조사분석;컨설팅;법인영업;일반영업;회원관리;고객상담;고객응대,,잡코리아 온라인 접수; E-메일 입사지원,정규직,2,면접 후 결정,고양시 일산동구,2021-04-26,http://www.jobkorea.co.kr/Recruit/GI_Read/33750697?Oem_Code=C900&api=232,,2021-01-26,2021-04-02,0,0,478-**-*****,2021-04-03 02:00,2021-04-03 02:00,Y,N,2021-04-03
37245653,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ss6745?Oem_Code=C900&api=232,㈜신성씨앤티,(수원) 개발영업팀 경력 정규직 채용,,신입/경력,3년 이상,3,회사 내규에 따름,,0;0,N,고졸,국내영업;기술영업;납품영업,,잡코리아 온라인 접수,정규직,○,주임~대리급; 팀원,수원시 권선구; 구미시,2021-04-28,http://www.jobkorea.co.kr/Recruit/GI_Read/33774089?Oem_Code=C900&api=232,,2021-01-28,2021-03-31,0,0,117-**-*****,2021-04-01 02:01,2021-04-02 02:00,Y,Y,2021-04-01
37262790,http://www.jobkorea.co.kr/Recruit/Co_Read/C/mamacook2016?Oem_Code=C900&api=232,㈜마마쿡,프렌차이즈 매장 매니저를 모집합니다,,관계없음,,0,월급,280만원 ~ 300만원,280;300,Y,학력무관,식품;매니저,,잡코리아 온라인 접수,정규직,○,과장~차장급 ,성남시 분당구; 하남시; 화성시; 강남구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33793796?Oem_Code=C900&api=232,,2021-01-31,2021-04-02,0,0,787-**-*****,2021-04-03 02:00,2021-04-03 02:00,Y,N,2021-04-03
