채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
38576006,http://www.jobkorea.co.kr/Recruit/Co_Read/C/changspt?Oem_Code=C900&api=232,㈜창성소프트젤,제약기계 해외영업 2명 채용,기계·기계설비; 해외영업·무역영업; 제품·서비스영업; 영업관리·지원·영업기획,신입/경력,3년 이상,3,연봉,3000만원 ~ 4500만원,3000;4500,Y,대졸(4년),영어;해외영업;고객관리;영업관리;영업지원,,잡코리아 온라인 접수; E-메일 입사지원,정규직,2,사원급; 주임~대리급,포천시     ,2021-10-04,http://www.jobkorea.co.kr/Recruit/GI_Read/35268163?Oem_Code=C900&api=232,,2021-07-06,2021-09-30,6,0,206-**-*****,2021-10-01 02:00,2021-10-02 01:59,Y,Y,2021-10-01
38600961,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sclorange1?Oem_Code=C900&api=232,건축사사무소 세움,건축사사무소세움 건축설계 직원 모집,건축·설비·환경; 기계설계·CAD·CAM,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,건축설계;AutoCad,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,,용인시 처인구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35295779?Oem_Code=C900&api=232,,2021-07-08,2021-10-01,0,0,512-**-*****,2021-10-02 02:00,2021-10-03 01:59,Y,Y,2021-10-02
38637664,http://www.jobkorea.co.kr/Recruit/Co_Read/C/0929jsaeri?Oem_Code=C900&api=232,제이에스고려유통,거래처납품 및 창고관리사원모집,물류·운송·배송; 배송·택배·운송,신입/경력,1년 이상,1,월급,250만원,250;0,Y,학력무관,배송;납품,,방문접수,정규직,1,,시흥시; 경기도 전지역; 광명시; 부천시,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35337103?Oem_Code=C900&api=232,,2021-07-13,2021-09-30,0,0,140-**-*****,2021-10-01 02:00,2021-10-02 01:59,Y,Y,2021-10-01
38659153,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kocomco?Oem_Code=C900&api=232,㈜코콤,홈네트워크 서버 소프트웨어 개발자 모집,전기·전자·제어; 웹프로그래머; 응용프로그래머; DBA·데이터베이스,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,대졸(2~3년),MySQL;AJAX;Java;jsp;php;API;C++;Linux;WAS,,잡코리아 온라인 접수,정규직,○,면접 후 결정,김포시     ,2021-10-12,http://www.jobkorea.co.kr/Recruit/GI_Read/35360867?Oem_Code=C900&api=232,,2021-07-14,2021-09-30,1,0,130-**-*****,2021-10-01 02:00,2021-10-02 01:59,Y,Y,2021-10-01
38667088,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kocomco?Oem_Code=C900&api=232,㈜코콤,(주)코콤 안드로이드 임베디드 단말기 소프트웨어 개발자(경력)모집,전기·전자·제어; 응용프로그래머,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,대졸(2~3년),아이폰;안드로이드;Application;Java;Linux,,잡코리아 온라인 접수,정규직,○,주임~대리급; 과장~차장급,김포시     ,2021-10-13,http://www.jobkorea.co.kr/Recruit/GI_Read/35369838?Oem_Code=C900&api=232,,2021-07-15,2021-09-30,1,0,130-**-*****,2021-10-01 02:00,2021-10-02 01:59,Y,Y,2021-10-01
38674070,http://www.jobkorea.co.kr/Recruit/Co_Read/C/unitech89?Oem_Code=C900&api=232,㈜유니텍,[유니텍] 국방사업 소프트웨어(C#/C++) 개발자 채용,솔루션·SI·CRM·ERP; 응용프로그래머; DBA·데이터베이스; 소프트웨어·하드웨어,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,대졸(2~3년),소프트웨어개발;솔루션;SI;MS-SQL;MySQL;C#;C++;MFC;VisualC++;하드웨어,,잡코리아 온라인 접수,정규직,3,면접 후 결정,안양시 동안구; 구로구; 성남시 분당구; 안산시 단원구; 강남구; 군포시,2021-10-05,http://www.jobkorea.co.kr/Recruit/GI_Read/35377587?Oem_Code=C900&api=232,,2021-07-16,2021-10-01,2,0,114-**-*****,2021-10-01 02:01,2021-10-03 01:59,Y,Y,2021-10-01
38677242,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dineout2016?Oem_Code=C900&api=232,다인아웃㈜,아메리칸 비스트로 스터번 기흥점에서 BOH/키친팀/주방 직원을 모집합니다,음식료·외식·프랜차이즈; 요리·영양·제과제빵·바리스타,관계없음,,0,월급,200만원 ~ 220만원,200;220,Y,학력무관,양식당;요리사;조리사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,사원급; 팀원,용인시 기흥구,2021-10-14,http://www.jobkorea.co.kr/Recruit/GI_Read/35381177?Oem_Code=C900&api=232,,2021-07-16,2021-10-01,0,0,548-**-*****,2021-10-02 02:00,2021-10-03 01:59,Y,Y,2021-10-02
38678517,http://www.jobkorea.co.kr/Recruit/Co_Read/C/hailey97?Oem_Code=C900&api=232,㈜정상JLS,㈜정상JLS 정상어학원(본사직영) 초/중등부 영어선생님 채용,학원·어학원·교육원; 초중고·특수학교; 보습학원·입시학원; 외국어교육; 외국어·번역·통역,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(4년),어학원;영어학원;유아교육;입시학원;학원강사;초등학교교사;중고등학교교사;제2외국어;영어강사;일반학원강사;입시학원강사;전임강사;TESOL;TOEFL;동시통역;번역,,홈페이지 지원,계약직,○,,강남구; 경기도 전지역; 서울특별시 전지역,2021-10-15,http://www.jobkorea.co.kr/Recruit/GI_Read/35382565?Oem_Code=C900&api=232,,2021-07-16,2021-10-01,0,0,130-**-*****,2021-10-02 02:01,2021-10-03 01:59,Y,Y,2021-10-02
38703139,http://www.jobkorea.co.kr/Recruit/Co_Read/C/aron5403?Oem_Code=C900&api=232,아론이엔씨,전기공사 본사 공무(본사근무),건축·설비·환경; 전기·소방·통신·안전,경력,5년 이상,5,연봉,4500만원 ~ 5000만원,4500;5000,N,고졸,전기;전기공사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,과장~차장급; 팀장/매니저/실장,성남시 분당구,2021-11-30,http://www.jobkorea.co.kr/Recruit/GI_Read/35410382?Oem_Code=C900&api=232,,2021-07-20,2021-10-01,0,0,189-**-*****,2021-10-02 02:00,2021-10-03 01:59,Y,Y,2021-10-02
38704897,http://www.jobkorea.co.kr/Recruit/Co_Read/C/hanautomobile?Oem_Code=C900&api=232,한오토모빌레㈜,푸조; 시트로앵 강남서비스 직원모집,정비·A/S·카센터; 비서·안내; 설치·정비·A/S; 경리·회계·결산,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(2~3년),부품관리;수입차;수입차 정비;Part;경정비;자동차정비;중정비;A·S센터;리셉션;인포메이션;부가세신고;전표입력;출납;판금,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 인턴직,○,사원급; 주임~대리급; 과장~차장급,과천시     ,2021-10-18,http://www.jobkorea.co.kr/Recruit/GI_Read/35412367?Oem_Code=C900&api=232,,2021-07-20,2021-09-30,0,0,609-**-*****,2021-10-01 02:00,2021-10-02 01:59,Y,Y,2021-10-01
