채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
36221210,http://www.jobkorea.co.kr/Recruit/Co_Read/C/mirtec?Oem_Code=C900&api=232,㈜미르기술,미르기술 안성공장 품질관리 신입 및 경력사원 모집,,관계없음,,0,회사 내규에 따름,,0;0,Y,대졸(2~3년),반도체;반도체생산;반도체장비;정밀광학;6시그마;품질검사;품질관리;품질보증,,잡코리아 온라인 접수,정규직,○,주임~대리급; 과장~차장급; 팀원,안성시     ,2020-12-02,http://www.jobkorea.co.kr/Recruit/GI_Read/32616936?Oem_Code=C900&api=232,,2020-09-03,2020-12-01,0,0,124-**-*****,2020-12-02 02:00,2020-12-03 02:00,Y,Y,2020-12-02
36262231,http://www.jobkorea.co.kr/Recruit/Co_Read/C/Jaywave?Oem_Code=C900&api=232,㈜제이웨이브,(주)제이웨이브 AMD 온라인 영업/마케팅(경력) 채용,,관계없음,,0,회사 내규에 따름,,0;0,Y,대졸(2~3년),화장품;AMD;국내영업;화장품영업;거래처관리;고객관리;매출관리;영업관리;영업기획,,잡코리아 온라인 접수,정규직,○,면접 후 결정,김포시     ,2020-12-08,http://www.jobkorea.co.kr/Recruit/GI_Read/32663172?Oem_Code=C900&api=232,,2020-09-09,2020-11-30,2,0,105-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36278571,http://www.jobkorea.co.kr/Recruit/Co_Read/C/xotjq1234?Oem_Code=C900&api=232,케이비손해보험,보험영업 및 텔레마케팅  도전해보세요 내년부터 월급제 퇴직금 4대보험적용,,관계없음,,0,연봉,3600만원 ~ 10000만원,3600;10000,N,고졸,보험영업;손해보험;자동차보험,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직; 프리랜서,2,팀원,고양시 일산동구; 고양시 덕양구,2020-12-08,http://www.jobkorea.co.kr/Recruit/GI_Read/32681450?Oem_Code=C900&api=232,,2020-09-11,2020-12-01,0,0,202-**-*****,2020-12-02 02:01,2020-12-03 02:00,Y,Y,2020-12-02
36298884,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ktrailer?Oem_Code=C900&api=232,k트레일러,신입사원 채용 - 정비,,신입/경력,2년 이상,2,회사 내규에 따름,,0;0,N,대졸(4년),레저;레포츠;설치;정비;튜닝,,잡코리아 온라인 접수,정규직,○,,수원시 팔달구,2020-12-14,http://www.jobkorea.co.kr/Recruit/GI_Read/32704423?Oem_Code=C900&api=232,,2020-09-15,2020-11-30,0,0,138-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36298920,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ktrailer?Oem_Code=C900&api=232,k트레일러,신입사원 채용 - 제품생산(개발),,신입/경력,2년 이상,2,회사 내규에 따름,,0;0,N,고졸,레저;레포츠;기계;생산직,,잡코리아 온라인 접수,정규직,○,,수원시 팔달구,2020-12-14,http://www.jobkorea.co.kr/Recruit/GI_Read/32704459?Oem_Code=C900&api=232,,2020-09-15,2020-11-30,0,0,138-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36298957,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ktrailer?Oem_Code=C900&api=232,k트레일러,신입사원 채용 - 사무직,,신입/경력,2년 이상,2,회사 내규에 따름,,0;0,N,대졸(4년),레저;레포츠;사무관리;고객상담;고객응대;고객지원,,잡코리아 온라인 접수,정규직,○,,수원시 팔달구,2020-12-14,http://www.jobkorea.co.kr/Recruit/GI_Read/32704496?Oem_Code=C900&api=232,,2020-09-15,2020-11-30,0,0,138-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36298996,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ktrailer?Oem_Code=C900&api=232,k트레일러,신입사원 채용 - 영업직,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,학력무관,레저;레포츠;거래처관리;고객관리;영업관리;판매관리;판매영업,,잡코리아 온라인 접수,정규직,○,,수원시 팔달구,2020-12-14,http://www.jobkorea.co.kr/Recruit/GI_Read/32704535?Oem_Code=C900&api=232,,2020-09-15,2020-11-30,0,0,138-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36317267,http://www.jobkorea.co.kr/Recruit/Co_Read/C/zeus7549?Oem_Code=C900&api=232,혜성네트웍스,PC시스템 관련 및 IT보안솔루션 기술지원[컴퓨터; AS; 유지보수][ 신입/경력 채용 ]3차,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(2~3년),유지보수;컴퓨터;하드웨어;AS;기술영업;기술지원;시스템영업;소프트웨어,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 인턴직,3,사원급; 주임~대리급; 과장~차장급; 팀원; 팀장/매니저/실장,과천시; 군포시; 안양시 동안구; 안양시 만안구; 광명시; 의왕시,2020-12-16,http://www.jobkorea.co.kr/Recruit/GI_Read/32724985?Oem_Code=C900&api=232,,2020-09-17,2020-12-01,0,0,135-**-*****,2020-12-02 02:00,2020-12-03 02:00,Y,Y,2020-12-02
36321585,http://www.jobkorea.co.kr/Recruit/Co_Read/C/yongormm?Oem_Code=C900&api=232,김샘학원,의정부 김샘학원 초중 영어 선생님 모집,,관계없음,,0,월급,90만원 ~ 120만원,90;120,Y,대졸(2~3년),보습학원;입시학원;학원강사;영어;영어강사,,잡코리아 온라인 접수,정규직,1,사원급; 팀원,의정부시   ,2020-12-16,http://www.jobkorea.co.kr/Recruit/GI_Read/32729756?Oem_Code=C900&api=232,,2020-09-17,2020-11-30,0,0,127-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
36329508,http://www.jobkorea.co.kr/Recruit/Co_Read/C/hansinpnl?Oem_Code=C900&api=232,한신피앤엘주식회사,종이컵 광고영업에 관심있는 담당직원 채용,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,유통;판매;국내영업,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직; 프리랜서,1,면접 후 결정,안양시 동안구,2020-12-17,http://www.jobkorea.co.kr/Recruit/GI_Read/32738638?Oem_Code=C900&api=232,,2020-09-18,2020-11-30,0,0,138-**-*****,2020-12-01 02:00,2020-12-02 02:00,Y,Y,2020-12-01
