채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
38285579,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dawoocns1?Oem_Code=C900&api=232,㈜다우씨엔에스,(주)다우씨엔에스 전자부품(커넥터및 반도체)영업부 직원 채용,전기·전자·제어; 제품·서비스영업; IT·솔루션·기술영업; 영업관리·지원·영업기획; 법인영업,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,대졸(2~3년),SMT;국내영업;납품영업;법인영업;일반영업;기술영업;반도체영업;거래선개발관리;거래처관리;고객관리;영업관리;영업지원,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,부장급; 팀원; 팀장/매니저/실장,군포시; 경기도 전지역; 과천시; 수원시 권선구; 수원시 장안구; 수원시 팔달구; 수원시 영통구; 안양시 동안구; 안양시 만안구; 의왕시,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34943996?Oem_Code=C900&api=232,,2021-06-03,2021-08-31,0,0,525-**-*****,2021-09-01 02:00,2021-09-02 02:00,Y,Y,2021-09-01
38316274,http://www.jobkorea.co.kr/Recruit/Co_Read/C/chanlaser?Oem_Code=C900&api=232,찬레이저,레이저 CAD;CAM  직원구함,금속·재료·자재; 기계설계·CAD·CAM,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,금속;금속가공;AutoCad;CAM,,잡코리아 온라인 접수,정규직,1,면접 후 결정,남양주시   ,2021-09-05,http://www.jobkorea.co.kr/Recruit/GI_Read/34978596?Oem_Code=C900&api=232,,2021-06-07,2021-09-01,0,0,132-**-*****,2021-09-02 02:01,2021-09-03 02:00,Y,Y,2021-09-02
38321058,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sfood2500?Oem_Code=C900&api=232,에쓰푸드㈜,존쿡브레드 정규 생산직 채용 공고(제빵),식품가공; 포장·가공,관계없음,,0,시급,8800원,8800;0,Y,고졸,제빵;식품가공;생산직,,잡코리아 온라인 접수,정규직,4,사원급     ,안성시     ,2021-09-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34983821?Oem_Code=C900&api=232,,2021-06-08,2021-08-31,0,0,125-**-*****,2021-09-01 02:00,2021-09-02 02:00,Y,Y,2021-09-01
38324941,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sanbonstyle?Oem_Code=C900&api=232,원종석,수입차 및 슈퍼카 토탈 메인터넌스 전문점 스타일모터스포츠에서 함께할 신입/경력 직원분을 모집합니다.,정비·A/S·카센터; 설치·정비·A/S,관계없음,,0,월급,200만원,0;200,Y,고졸,수리;자동차정비;튜닝,,잡코리아 온라인 접수,정규직,3,사원급; 주임~대리급,성남시 수정구,2021-09-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34988063?Oem_Code=C900&api=232,,2021-06-08,2021-09-02,0,0,871-**-*****,2021-09-03 02:00,2021-09-03 02:00,Y,N,2021-09-03
38327910,http://www.jobkorea.co.kr/Recruit/Co_Read/C/redsky5743?Oem_Code=C900&api=232,파티쉐봉,[파티쉐봉] 1톤탑차 배송직 신입/경력 사원모집,음식료·외식·프랜차이즈; 배송·택배·운송,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,식품;제과제빵점;납품;배송,,잡코리아 온라인 접수,정규직,○,,남양주시   ,2021-09-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34991396?Oem_Code=C900&api=232,,2021-06-08,2021-09-01,0,0,204-**-*****,2021-09-02 02:01,2021-09-03 02:00,Y,Y,2021-09-02
38343125,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sado0321?Oem_Code=C900&api=232,㈜태성지엘,[실적무관 기본급200] 가족같은 팀에서 부동산 배우면서 일하실 분,부동산·중개·임대; 건설·시공·토목·조경; 건축·설비·환경; 제품·서비스영업; IT·솔루션·기술영업; 영업관리·지원·영업기획; 법인영업; 단순홍보·회원관리; 고객상담·인바운드; 시공·현장·감리·공무; 부동산·중개·분양·경매; 사무보조·문서작성,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,학력무관,공인중개사;부동산관리;분양;토지;문서관리;전산입력;Excel;국내영업;법인영업;일반영업;부동산영업;네트워크영업;거래선개발관리;거래처관리;고객관리;납품관리;대리점관리;영업관리;영업지원;고객상담;고객응대;고객지원;보험회사;홍보상담;회원관리;현장소장;감정평가;견적·시세;경매입찰;매입·매각;모델하우스;부동산경매;부동산시행;부동산컨설팅;분양대행;분양상담사;아파트·빌라;양도·양수;임대·임대컨설팅;주택관리사;해외부동산;상가·사무실;영업·홍보,,잡코리아 온라인 접수; E-메일 입사지원,계약직; 프리랜서,○,,광진구; 성남시 분당구; 강남구; 강동구; 강북구; 강서구; 금천구; 노원구; 동대문구; 성북구; 송파구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35008134?Oem_Code=C900&api=232,,2021-06-10,2021-09-02,0,0,206-**-*****,2021-09-03 02:00,2021-09-03 02:00,Y,N,2021-09-03
38362533,http://www.jobkorea.co.kr/Recruit/Co_Read/C/gw0222?Oem_Code=C900&api=232,㈜견우푸드,[견우푸드] 생산관리 경력직(과장급) 정규직 채용,식품가공; 생산관리·공정관리·품질관리,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,학력무관,식품가공;공장장;공정;공정관리;생산관리;품질관리,,잡코리아 온라인 접수,정규직,1,,광주시     ,2021-09-09,http://www.jobkorea.co.kr/Recruit/GI_Read/35029698?Oem_Code=C900&api=232,,2021-06-11,2021-08-31,0,0,126-**-*****,2021-09-01 02:01,2021-09-02 02:00,Y,Y,2021-09-01
38363485,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sunnyynk?Oem_Code=C900&api=232,㈜플레이위드,웹개발(경력) 사원을 모십니다.,게임·애니메이션; 웹프로그래머,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,.NET;asp;ASP.NET;jsp,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,사원급; 팀원,성남시 분당구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35030703?Oem_Code=C900&api=232,,2021-06-11,2021-09-01,0,0,306-**-*****,2021-09-02 02:01,2021-09-03 02:00,Y,Y,2021-09-02
38377129,http://www.jobkorea.co.kr/Recruit/Co_Read/C/nhnrecruit3?Oem_Code=C900&api=232,엔에이치엔㈜,[NHN] 웹툰 작가 경력 채용,모바일·APP; 작가·시나리오,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,웹툰 작가;각색 작가;콘티 작가;모바일;스마트폰;아이폰;안드로이드,,홈페이지 지원,정규직,○,,성남시 분당구,2021-09-12,http://www.jobkorea.co.kr/Recruit/GI_Read/35046597?Oem_Code=C900&api=232,,2021-06-14,2021-09-02,0,0,144-**-*****,2021-09-03 02:00,2021-09-03 02:00,Y,N,2021-09-03
38394724,http://www.jobkorea.co.kr/Recruit/Co_Read/C/nhnrecruit?Oem_Code=C900&api=232,엔에이치엔㈜,[NHN] 사업 부문 수시채용 (신입/경력),솔루션·SI·CRM·ERP; IT·솔루션·기술영업; 영업관리·지원·영업기획; 기획·전략·경영,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,학력무관,모바일앱개발;소프트웨어개발;솔루션;사업기획;네트워크영업;솔루션영업;시스템영업;영업기획,,홈페이지 지원,정규직; 계약직,○,,성남시 분당구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35065831?Oem_Code=C900&api=232,,2021-06-16,2021-09-02,0,0,144-**-*****,2021-09-03 02:00,2021-09-03 02:00,Y,N,2021-09-03
38400449,http://www.jobkorea.co.kr/Recruit/Co_Read/C/beauty0036?Oem_Code=C900&api=232,미용하는사람들뷰티아카데미,헤어 실무반/이용사반 강사모집,학원·어학원·교육원; 뷰티·미용·애완; 자격증·기술·전문교육,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,기능학원;미용강사;헤어디자이너;직업훈련교사,,잡코리아 온라인 접수,정규직; 계약직,○,,의정부시   ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35072157?Oem_Code=C900&api=232,,2021-06-16,2021-09-01,0,0,127-**-*****,2021-09-02 02:00,2021-09-03 02:00,Y,Y,2021-09-02
38400475,http://www.jobkorea.co.kr/Recruit/Co_Read/C/beauty0036?Oem_Code=C900&api=232,미용하는사람들뷰티아카데미,BTP미용하는사람들 뷰티아카데미 사원모집,학원·어학원·교육원; 사무보조·문서작성; 학원상담·관리·운영; 마케팅·광고·분석,신입,,0,회사 내규에 따름,,0;0,Y,고졸,기능학원;홈페이지관리;마케팅;교육상담;수강생관리,,잡코리아 온라인 접수,정규직; 계약직,○,사원급     ,의정부시   ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35072184?Oem_Code=C900&api=232,,2021-06-16,2021-09-01,0,0,127-**-*****,2021-09-02 02:00,2021-09-03 02:00,Y,Y,2021-09-02
38400914,http://www.jobkorea.co.kr/Recruit/Co_Read/C/learenmoters?Oem_Code=C900&api=232,리렌,[자동차 리스/장기렌트]금융컨설팅 영업매니저 모집합니다.,렌탈·임대·리스; 고객상담·인바운드; 영업관리·지원·영업기획; 금융·보험영업,관계없음,,0,연봉,,0;0,Y,학력무관,오토리스;고객상담;고객응대,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○○○,사원급; 팀원; 팀장/매니저/실장,구리시     ,2021-09-14,http://www.jobkorea.co.kr/Recruit/GI_Read/35072634?Oem_Code=C900&api=232,,2021-06-16,2021-09-02,0,0,396-**-*****,2021-09-03 02:01,2021-09-03 02:01,Y,N,2021-09-03
