채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
38880218,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kkkk0071052?Oem_Code=C900&api=232,오더퀸㈜,신입사원 채용 공고,컴퓨터·하드웨어·장비; 사무·총무·법무; 네트워크·서버·보안; 설치·정비·A/S; 영업관리·지원·영업기획,신입,,0,연봉,2550만원,2550;0,Y,고졸,유지보수;컴퓨터;펌웨어;하드웨어;AS;관리;영업지원;POS;기술지원;설치;A·S,,잡코리아 온라인 접수; E-메일 입사지원,계약직,2,사원급     ,성남시 중원구,2021-11-08,http://www.jobkorea.co.kr/Recruit/GI_Read/35609193?Oem_Code=C900&api=232,,2021-08-10,2021-11-02,0,0,810-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
38890136,http://www.jobkorea.co.kr/Recruit/Co_Read/C/debbiemeyer?Oem_Code=C900&api=232,㈜데비마이어 아시아,[데비마이어아시아] 경기 안성 물류센터 운영담당자 채용,백화점·유통·도소매; 유통·물류·재고; 구매·자재,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,학력무관,판매;물류;물류관리;상품입출고,,잡코리아 온라인 접수,정규직,,,안성시     ,2021-11-08,http://www.jobkorea.co.kr/Recruit/GI_Read/35620141?Oem_Code=C900&api=232,,2021-08-10,2021-11-01,0,0,168-**-*****,2021-11-02 02:01,2021-11-03 02:00,Y,Y,2021-11-02
38941735,http://www.jobkorea.co.kr/Recruit/Co_Read/C/atempomedia?Oem_Code=C900&api=232,㈜에이템포미디어,(주)에이템포 미디어 웹툰PD 모집,출판·인쇄·사진; 웹기획·PM; 인쇄·출판·편집; 감독·연출·PD,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,전자출판;웹기획;웹서비스기획;웹PD;PD·연출;온라인출판,,잡코리아 온라인 접수,정규직,1,사원급; 주임~대리급; 팀원,부천시,2021-11-15,http://www.jobkorea.co.kr/Recruit/GI_Read/35678304?Oem_Code=C900&api=232,,2021-08-17,2021-11-02,0,0,752-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
38944236,http://www.jobkorea.co.kr/Recruit/Co_Read/C/master08090809?Oem_Code=C900&api=232,휘트니스 M(fitness M),용인 역북동 최대규모센터에서 FC (상담) 직원 채용합니다.,스포츠·여가·레저; 레저·스포츠,관계없음,,0,월급,200만원 ~ 250만원,200;250,Y,학력무관,골프장;스포츠센터;휘트니스센터;레저;생활체육;헬스트레이너,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직,○○○,팀원; 팀장/매니저/실장; 파트장/그룹장,용인시 처인구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35680998?Oem_Code=C900&api=232,,2021-08-17,2021-11-01,0,0,647-**-*****,2021-11-02 02:00,2021-11-03 02:00,Y,Y,2021-11-02
38946023,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ykh9738?Oem_Code=C900&api=232,케이에이치대청산업,롯데택배 기사님 모집,물류·운송·배송; 배송·택배·운송; 운전·기사,관계없음,,0,연봉,400만원,400;0,Y,학력무관,물류;배송;운송;택배;납품;물류관리;재고관리;창고관리,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,계약직; 아르바이트,○,,계양구; 부평구; 중구; 서구; 인천광역시 전지역; 남구; 남동구; 연수구; 경기도 전지역; 광명시; 시흥시,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35683076?Oem_Code=C900&api=232,,2021-08-18,2021-11-02,0,0,105-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
38980418,http://www.jobkorea.co.kr/Recruit/Co_Read/C/girinism?Oem_Code=C900&api=232,주식회사 공존공간,[행궁동/주방] 모던 한식 레스토랑&전통주 브루펍 `팔딱산`에서 근무하실 주방인력을 구합니다.,음식료·외식·프랜차이즈; 문화·공연·예술; 요리·영양·제과제빵·바리스타,관계없음,,0,연봉,195만원 ~ 270만원,195;270,Y,학력무관,메뉴개발;메뉴기획;음식료;퓨전푸드;한식당;공연기획;공연예술;문화기획;요리사;주방보조;주방장;Chef,,잡코리아 온라인 접수,정규직; 계약직; 프리랜서,○,사원급; 주임~대리급; 면접 후 결정; 팀원; 팀장/매니저/실장; 파트장/그룹장,수원시 팔달구; 수원시 권선구; 수원시 장안구; 수원시 영통구; 용인시 기흥구; 용인시 수지구,2021-11-19,http://www.jobkorea.co.kr/Recruit/GI_Read/35721446?Oem_Code=C900&api=232,,2021-08-21,2021-11-02,0,0,124-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
38996443,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ksbsoft?Oem_Code=C900&api=232,고려전산㈜,연구개발팀 개발자 정규직 모집,솔루션·SI·CRM·ERP; 응용프로그래머; DBA·데이터베이스; 소프트웨어·하드웨어,신입/경력,3년 이상,3,회사 내규에 따름,,0;0,Y,대졸(2~3년),소프트웨어개발;데이터베이스;MS-SQL;MySQL;Oracle;응용프로그래머;전산전공;C#;Delphi;VisualBasic;유지보수,,잡코리아 온라인 접수; E-메일 입사지원; 홈페이지 지원,정규직,○,사원급; 팀원,강남구; 군포시,2021-11-22,http://www.jobkorea.co.kr/Recruit/GI_Read/35739574?Oem_Code=C900&api=232,,2021-08-24,2021-11-02,0,0,220-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
39002919,http://www.jobkorea.co.kr/Recruit/Co_Read/C/osung2014?Oem_Code=C900&api=232,㈜오성기업,이형지 이형필름업체 총무 경력사원 모집,목재·제지·가구; 경리·회계·결산,경력,5년 이상,5,회사 내규에 따름,,0;0,N,대졸(4년),제지;경리,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,김포시; 고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 계양구,2021-11-22,http://www.jobkorea.co.kr/Recruit/GI_Read/35746667?Oem_Code=C900&api=232,,2021-08-24,2021-11-01,0,0,136-**-*****,2021-11-02 02:00,2021-11-03 02:00,Y,Y,2021-11-02
39015186,http://www.jobkorea.co.kr/Recruit/Co_Read/C/geosan124?Oem_Code=C900&api=232,거산반도체,전자부품 영업 사원 모집,무역·상사; 영업관리·지원·영업기획,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,거래처관리;납품관리;매출관리;영업관리,,잡코리아 온라인 접수; E-메일 입사지원; 홈페이지 지원,정규직,○,,수원시 권선구,2021-11-23,http://www.jobkorea.co.kr/Recruit/GI_Read/35760320?Oem_Code=C900&api=232,,2021-08-25,2021-11-02,0,0,124-**-*****,2021-11-03 02:00,2021-11-03 02:00,Y,N,2021-11-03
39018629,http://www.jobkorea.co.kr/Recruit/Co_Read/C/osung2014?Oem_Code=C900&api=232,㈜오성기업,이형지 이형필름 영업부 신입 및 경력사원 모집,목재·제지·가구; IT·솔루션·기술영업,관계없음,,0,회사 내규에 따름,,0;0,N,대졸(4년),영업;㈜오성기업;제지;기술영업,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,강서구; 고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 계양구; 김포시,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/35764144?Oem_Code=C900&api=232,,2021-08-26,2021-11-01,0,0,136-**-*****,2021-11-02 02:00,2021-11-03 02:00,Y,Y,2021-11-02
