채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
34282035,http://www.jobkorea.co.kr/Recruit/Co_Read/C/soloist0?Oem_Code=C900&api=232,㈜티라이프,온라인 쇼핑몰 마케팅 및 영업 MD 신입/경력 모집,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(2~3년),상품기획;소셜커머스;쇼핑몰;오픈마켓;B2C;여성의류;패션;MD;마케팅;시장분석;온라인MD;패션MD;거래처관리;영업관리;웹사이트운영,,잡코리아 온라인 접수,정규직,2,,성남시 중원구,2020-02-04,http://www.jobkorea.co.kr/Recruit/GI_Read/30452855?Oem_Code=C900&api=232,,2019-12-06,2020-01-16,0,0,129-**-*****,2019-12-28 02:06,2020-01-17 02:04,Y,N,2019-12-28
34333664,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ssgdriver?Oem_Code=C900&api=232,에스에이엠통운,[야간;주간근무]E마트상품 배송/납품기사 모집,,관계없음,,0,월급,450만원 ~ 500만원,450;500,N,학력무관,물류;물류센터;배송;운송;육상운송;납품;물류관리;택배;중장비운전;지게차운전;포장이사;화물차운전;굴삭기;버스기사;수행기사;승용기사;운전기사;학원차량,,잡코리아 온라인 접수,정규직; 계약직; 파견직,○○,팀원,연수구; 부평구; 남구; 계양구; 서구; 은평구; 서대문구; 마포구; 고양시 일산서구; 고양시 일산동구,2020-01-23,http://www.jobkorea.co.kr/Recruit/GI_Read/30510370?Oem_Code=C900&api=232,,2019-12-12,2020-01-14,0,0,415-**-*****,2019-12-14 02:01,2020-01-16 02:00,Y,Y,2019-12-14
34350961,http://www.jobkorea.co.kr/Recruit/Co_Read/C/gksthfdl1099?Oem_Code=C900&api=232,한솔이앤씨,(주5일/중식제공) 업무지원; 인사관리; 홍보기획파트 직원모집,,신입/경력,1년 이상,1,월급,210만원 ~ 350만원,210;350,Y,고졸,도시개발;부동산관리;부동산서비스;부동산운용;토지개발;문서수발;비품관리;총무;급여관리;인사;인사기획;인사통합;채용·면접;문서관리;문서작성;사무보조;전산입력;전산편집;4대보험;광고관리;홍보;홍보기획;PR;SNS운영,,잡코리아 온라인 접수,정규직,○○,,중구; 서울특별시 전지역; 성남시 중원구; 성남시 분당구; 금천구; 송파구,2020-01-20,http://www.jobkorea.co.kr/Recruit/GI_Read/30529453?Oem_Code=C900&api=232,,2019-12-14,2020-01-16,0,0,259-**-*****,2019-12-20 02:04,2020-01-17 02:04,Y,N,2019-12-20
34354302,http://www.jobkorea.co.kr/Recruit/Co_Read/C/cdf1801?Oem_Code=C900&api=232,코웨이㈜,(주)코웨이홈케어닥터 경기도(철원.연천.포천.동두천.양주.남양주.의정부.구리)전지역모집 합니다,,관계없음,,0,연봉,3000만원 ~ 5000만원,3000;5000,N,고졸,렌탈;고객관리;단순홍보;회원관리,,잡코리아 온라인 접수,계약직,5,팀원,의정부시; 남양주시; 동두천시; 양주시; 연천군; 구리시,2020-01-24,http://www.jobkorea.co.kr/Recruit/GI_Read/30533557?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,307-**-*****,2019-12-31 02:06,2020-01-16 02:00,Y,Y,2019-12-31
34355026,http://www.jobkorea.co.kr/Recruit/Co_Read/C/zzogzzog?Oem_Code=C900&api=232,㈜오늘,㈜오늘에서 아동미술 프로그램연구진 모집,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,쇼핑몰;B2B;B2C;교육기획;교육진행;교재컨텐츠개발;교육프로그램,,잡코리아 온라인 접수,정규직,1,,의정부시   ,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30534315?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,106-**-*****,2019-12-17 02:07,2020-01-16 02:00,Y,Y,2019-12-17
34355838,http://www.jobkorea.co.kr/Recruit/Co_Read/C/leetoys?Oem_Code=C900&api=232,㈜대호종합상사,웹기획;웹마케팅;웹PM;온라인MD,,관계없음,,0,연봉,2000만원 ~ 3000만원,2000;3000,Y,고졸,MD;온라인MD;온라인마케팅;웹마케팅;쇼핑몰;웹사이트운영,,잡코리아 온라인 접수,정규직; 계약직,2,주임~대리급; 과장~차장급; 팀원; 팀장/매니저/실장,광주시; 아산시,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30535196?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,119-**-*****,2019-12-17 02:07,2020-01-16 02:00,Y,Y,2019-12-17
34360360,http://www.jobkorea.co.kr/Recruit/Co_Read/C/smtlaw2018?Oem_Code=C900&api=232,㈜스마트로,(주)스마트로와 함께하실 능력있는 개발자를 모십니다.,,신입/경력,3년 이상,3,연봉,,0;0,Y,학력무관,인터넷법률;컨텐츠;포털;.NET;웹프로그래머;Java;MS-SQL;MySQL,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,면접 후 결정,성남시 분당구,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30540136?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,645-**-*****,2019-12-31 02:02,2020-01-16 02:00,Y,Y,2019-12-31
34361520,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ianschool?Oem_Code=C900&api=232,칠드런스뮤지컬컴퍼니㈜,영어유치부 행정교사 모집,,관계없음,,0,회사 내규에 따름,,0;0,N,대졸(2~3년),어학원;유아교육;유치원;학원강사;결산;경리;경영지원;세무;출납,,잡코리아 온라인 접수,정규직,1,사원급     ,오산시     ,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30541357?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,112-**-*****,2019-12-17 02:02,2020-01-16 02:00,Y,Y,2019-12-17
34362155,http://www.jobkorea.co.kr/Recruit/Co_Read/C/gmgdch2019?Oem_Code=C900&api=232,광명기대찬병원,기대찬병원 홍보팀(디자이너) 신입/경력 채용합니다.,,신입/경력,1년 이상,1,연봉,2200만원,2200;0,Y,학력무관,디자인;시각디자인;일러스트레이터;포토샵;광고디자인;디자인기타,,잡코리아 온라인 접수,정규직,○,팀원,광명시; 서초구,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30542047?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,266-**-*****,2019-12-24 02:04,2020-01-16 02:00,Y,Y,2019-12-24
34362598,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ianschool?Oem_Code=C900&api=232,칠드런스뮤지컬컴퍼니㈜,초등부영어 담당교사 모집,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(4년),어학원;유아교육;유치원;학원강사;영어;영어강사;일반학원강사;교육상담;수강생관리;프로그램상담;학원운영;회원관리,,잡코리아 온라인 접수,정규직,1,팀원,오산시     ,2020-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/30542544?Oem_Code=C900&api=232,,2019-12-16,2020-01-14,0,0,112-**-*****,2019-12-17 02:01,2020-01-16 02:00,Y,Y,2019-12-17
