채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
36406125,http://www.jobkorea.co.kr/Recruit/Co_Read/C/c3dongtan?Oem_Code=C900&api=232,씨큐브코딩화성동탄학원,CMS에듀 [씨큐브코딩] 화성동탄센터 초중고등 코딩강사 채용,,관계없음,,0,연봉,2400만원 ~ 2600만원,2400;2600,Y,대졸(2~3년),IT학원;기술직강사;컴퓨터학원강사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,화성시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/32826452?Oem_Code=C900&api=232,,2020-10-04,2020-12-31,0,0,107-**-*****,2021-01-01 02:00,2021-01-03 02:00,Y,Y,2021-01-01
36454025,http://www.jobkorea.co.kr/Recruit/Co_Read/C/phossam?Oem_Code=C900&api=232,포앤쌈,포앤쌈 쌀국수전문점 주방장 채용,,관계없음,,0,월급,250만원,250;0,Y,학력무관,양식당;중식당;요리사;조리사;주방장,,잡코리아 온라인 접수,정규직,1,,수원시 장안구; 수원시 팔달구; 수원시 영통구,2021-01-08,http://www.jobkorea.co.kr/Recruit/GI_Read/32879866?Oem_Code=C900&api=232,,2020-10-10,2021-01-02,0,0,219-**-*****,2021-01-03 02:00,2021-01-03 02:00,Y,N,2021-01-03
36508570,http://www.jobkorea.co.kr/Recruit/Co_Read/C/topus1068682565?Oem_Code=C900&api=232,토퍼스,[급구]넥센타이어렌탈 방문점검서비스 및 렌탈 영업직원 모집(서울; 경기도; 인천; 충청지역),,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,경정비;자동차정비;렌탈영업;검사;유지보수,,잡코리아 온라인 접수; E-메일 입사지원; FAX 접수,정규직; 계약직; 아르바이트,○○,면접 후 결정,경기도 전지역; 서울특별시 전지역; 충청남도 전지역,2021-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/32940713?Oem_Code=C900&api=232,,2020-10-17,2020-12-31,0,0,106-**-*****,2021-01-01 02:00,2021-01-02 02:00,Y,Y,2021-01-01
36559207,http://www.jobkorea.co.kr/Recruit/Co_Read/C/nstep12?Oem_Code=C900&api=232,주식회사 엔스텝,자동제어;P.L.C; 전장설비,,신입/경력,1년 이상,1,연봉,2500만원 ~ 3500만원,2500;3500,Y,대졸(2~3년),자동제어;전장;PLC;제조,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수; FAX 접수,정규직,1,사원급; 주임~대리급,의왕시     ,2021-01-15,http://www.jobkorea.co.kr/Recruit/GI_Read/32997431?Oem_Code=C900&api=232,,2020-10-23,2021-01-01,0,0,138-**-*****,2021-01-02 02:00,2021-01-03 02:00,Y,Y,2021-01-02
36564445,http://www.jobkorea.co.kr/Recruit/Co_Read/C/em6066?Oem_Code=C900&api=232,버터럼,판교 아브뉴프랑 BUTTERUM 경력사원 판매 정직원 모집,,경력,3년 이상,3,회사 내규에 따름,,0;0,Y,학력무관,백화점;숍마스터;의류매장;샵마스터;의류판매,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,면접 후 결정,성남시 분당구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33003422?Oem_Code=C900&api=232,,2020-10-25,2021-01-02,0,0,844-**-*****,2021-01-03 02:00,2021-01-03 02:00,Y,N,2021-01-03
36567048,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jhek0905?Oem_Code=C900&api=232,교하,[신세계]이마트 (비대면)배송 담당자 채용(기본급 300 & 인센티브),,관계없음,,0,월급,500만원 ~ 600만원,500;600,N,학력무관,물류;물류센터;배송;육상운송;입출고관리;배차;외자구매;원부자재관리;창고관리;납품;물류관리;택배;수행기사;승용기사;운전기사;구매관리;상품입출고;외주관리;가맹점관리(SV);유통관리;공정;생산;생산관리;품질;공예;기계;기능직;방전;생산직;설비;용접;유리;절단;제조;조립;회로;나노;비금속;신소재;염색;포장;섬유;의류;패션;방사방적;원단검사,,잡코리아 온라인 접수,정규직; 계약직,○○,사원급; 주임~대리급; 과장~차장급; 부장급; 면접 후 결정; 팀원; 팀장/매니저/실장; 파트장/그룹장; 본부장/센터장; 지점장/지사장/원장/국장,서울특별시 전지역; 경기도 전지역; 인천광역시 전지역; 청주시 상당구; 고양시 일산동구; 김포시; 수원시 장안구; 용인시 기흥구; 용인시 수지구; 연수구; 남동구; 강서구; 노원구; 용산구,2021-01-09,http://www.jobkorea.co.kr/Recruit/GI_Read/33006555?Oem_Code=C900&api=232,,2020-10-26,2021-01-02,0,0,788-**-*****,2021-01-03 02:00,2021-01-03 02:00,Y,N,2021-01-03
36595180,http://www.jobkorea.co.kr/Recruit/Co_Read/C/bphani?Oem_Code=C900&api=232,인애한의원,잠실역앞 한의원에서 직원 분 모십니다.,,신입/경력,1년 이상,1,연봉,2400만원 ~ 2600만원,2400;2600,Y,고졸,간호;간호조무;코디네이터;간호조무사;한의원,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직,○,사원급     ,송파구; 하남시; 성남시 수정구; 강남구,2021-01-26,http://www.jobkorea.co.kr/Recruit/GI_Read/33037543?Oem_Code=C900&api=232,,2020-10-28,2021-01-02,0,0,506-**-*****,2021-01-03 02:00,2021-01-03 02:00,Y,N,2021-01-03
36603758,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jjuude?Oem_Code=C900&api=232,제이유디벨롭,[정규직/야근없음/워라벨보장] 경리부 직원 채용공고,,관계없음,,0,월급,225만원 ~ 250만원,225;250,Y,학력무관,건설;문서관리;문서작성;사무보조;전산입력;전산편집;4대보험;경리;급여관리;전표입력;회계;결산;세무;자금;자금조달;재무,,잡코리아 온라인 접수,정규직,○,,종로구; 강북구; 서대문구; 양천구; 금천구; 남양주시,2021-01-09,http://www.jobkorea.co.kr/Recruit/GI_Read/33046937?Oem_Code=C900&api=232,,2020-10-29,2021-01-02,0,0,668-**-*****,2021-01-03 02:01,2021-01-03 02:01,Y,N,2021-01-03
36603764,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jjuude?Oem_Code=C900&api=232,제이유디벨롭,[정규직/야근없음/워라벨보장] 마케팅부 직원 채용공고,,관계없음,,0,연봉,3000만원 ~ 3200만원,3000;3200,Y,학력무관,건설;마케팅;마케팅기획;키워드광고;판촉;광고관리;프로모션;홍보;홍보기획;SNS운영,,잡코리아 온라인 접수,정규직,○,,종로구; 강북구; 서대문구; 금천구; 양천구; 남양주시,2021-01-09,http://www.jobkorea.co.kr/Recruit/GI_Read/33046943?Oem_Code=C900&api=232,,2020-10-29,2021-01-02,0,0,668-**-*****,2021-01-03 02:01,2021-01-03 02:01,Y,N,2021-01-03
36603772,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jjuude?Oem_Code=C900&api=232,제이유디벨롭,[정규직/야근없음/워라벨보장] 인사부 직원 채용공고,,관계없음,,0,월급,225만원 ~ 250만원,225;250,Y,학력무관,건설;문서관리;문서수발;복리후생관리;사무관리;사무행정;급여관리;성과관리;인사;임금관리;채용·면접,,잡코리아 온라인 접수,정규직,○,,종로구; 강북구; 서대문구; 금천구; 양천구; 남양주시,2021-01-09,http://www.jobkorea.co.kr/Recruit/GI_Read/33046951?Oem_Code=C900&api=232,,2020-10-29,2021-01-02,0,0,668-**-*****,2021-01-03 02:01,2021-01-03 02:01,Y,N,2021-01-03
