채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
36021442,http://www.jobkorea.co.kr/Recruit/Co_Read/C/rcn123?Oem_Code=C900&api=232,르노삼성자동차 송탄대리점,르노삼성자동차 송탄대리점  영업담담 채용 [월 500-700이상/ XM3 판매증대에 따른 긴급채용],,관계없음,,0,회사 내규에 따름,,0;0,Y,고졸,자동차;국내영업;일반영업;자동차영업;고객관리;영업관리;판매영업,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,위촉직/개인사업자,○,면접 후 결정,평택시     ,2020-11-04,http://www.jobkorea.co.kr/Recruit/GI_Read/32393301?Oem_Code=C900&api=232,,2020-08-06,2020-10-31,0,0,125-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36067703,http://www.jobkorea.co.kr/Recruit/Co_Read/C/gmgdch2019?Oem_Code=C900&api=232,광명기대찬병원,[기대찬병원] 2차 정규직 홍보팀 디자이너 채용합니다.,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,디자인;시각디자인;일러스트레이터;포토샵;광고디자인;디자인기타,,잡코리아 온라인 접수,정규직,○,팀원,광명시; 서초구,2020-11-10,http://www.jobkorea.co.kr/Recruit/GI_Read/32444695?Oem_Code=C900&api=232,,2020-08-12,2020-10-31,0,0,266-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36068362,http://www.jobkorea.co.kr/Recruit/Co_Read/C/cbw9045?Oem_Code=C900&api=232,에이치앤씨파트너스,디스플레이 품질보증 경력직 채용,,경력,3년 이상,3,회사 내규에 따름,,0;0,Y,대졸(2~3년),디스플레이,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,안양시 만안구,2020-11-10,http://www.jobkorea.co.kr/Recruit/GI_Read/32445429?Oem_Code=C900&api=232,,2020-08-12,2020-10-31,0,0,423-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36068636,http://www.jobkorea.co.kr/Recruit/Co_Read/C/cbw9045?Oem_Code=C900&api=232,에이치앤씨파트너스,디스플레이 개발기술(설비 or EVENT) 경력직 채용,,경력,4년 이상,4,회사 내규에 따름,,0;0,Y,대졸(2~3년),디스플레이,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,안양시 만안구,2020-11-10,http://www.jobkorea.co.kr/Recruit/GI_Read/32445716?Oem_Code=C900&api=232,,2020-08-12,2020-10-31,0,0,423-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36069011,http://www.jobkorea.co.kr/Recruit/Co_Read/C/cbw9045?Oem_Code=C900&api=232,에이치앤씨파트너스,디스플레이 기구설계(LCM or BLU) or 전장용 회로개발 경력직 채용,,경력,3년 이상,3,회사 내규에 따름,,0;0,Y,대졸(4년),기구설계;회로설계,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,안양시 만안구,2020-11-10,http://www.jobkorea.co.kr/Recruit/GI_Read/32446192?Oem_Code=C900&api=232,,2020-08-12,2020-10-31,0,0,423-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36102853,http://www.jobkorea.co.kr/Recruit/Co_Read/C/springcloud7?Oem_Code=C900&api=232,스프링클라우드,[제2판교] 서비스 기획 (정규직),,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,소프트웨어개발;솔루션;모바일기획;웹기획;웹서비스기획;컨텐츠기획;UI설계;컨텐츠개발;인공지능(AI);데이터분석,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,사원급; 주임~대리급; 과장~차장급; 면접 후 결정; 팀원; 팀장/매니저/실장; 파트장/그룹장,수성구; 성남시 수정구; 성남시 분당구,2020-11-16,http://www.jobkorea.co.kr/Recruit/GI_Read/32484315?Oem_Code=C900&api=232,,2020-08-18,2020-11-02,0,0,155-**-*****,2020-11-03 02:01,2020-11-03 02:01,Y,N,2020-11-03
36110007,http://www.jobkorea.co.kr/Recruit/Co_Read/C/servicetop79?Oem_Code=C900&api=232,써비스탑,경영(임원) 경력자 /나이무관,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,경영기획;경영혁신;사업기획;인수·합병;CEO;사무행정;의약사무;인허가업무;저작권관리;특허업무;경영분석;경영컨설팅;기업심사;컨설턴트,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 프리랜서,○,,경기도 전지역; 서울특별시 전지역; 대전광역시 전지역; 충청남도 전지역; 인천광역시 전지역; 강원도 전지역,2020-11-17,http://www.jobkorea.co.kr/Recruit/GI_Read/32492256?Oem_Code=C900&api=232,,2020-08-19,2020-10-31,0,0,598-**-*****,2020-11-01 02:00,2020-11-02 02:00,Y,Y,2020-11-01
36111913,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dalinsbac?Oem_Code=C900&api=232,중소기업정책자금지원센터㈜,개인및법인대상 금융종사자;대출상담 경력자 연봉 1억이상 전문직채용[기업대출-입과교육](무경력자-신입가능),,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(2~3년),금융상담;전략영업;공인회계사;부동산운용;은행;자산관리사;여신;저축은행;종합금융;채권추심;캐피탈;경영연구소;경제연구소;컨설팅;사무보조;OA;개인고객영업;금융영업;금융자산관리사;법인고객영업;보험설계;보험영업;손해사정;여신상담;재무상담;증권;카드영업;퇴직연금;투자상담;거래선개발관리;거래처관리;고객관리;대리점관리;매출관리;영업관리;영업지원;전역장교;채권관리;기술영업;법인영업;일반영업;고객상담;고객응대;고객지원;보험회사;신용카드회사;여행상품;인바운드TM;증권·투신;콜센터;호텔·콘도;홈쇼핑업체;CS;금융사무;대출상담,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,위촉직/개인사업자,10,과장~차장급; 면접 후 결정; 팀장/매니저/실장,경기도 전지역; 서울특별시 전지역; 인천광역시 전지역,2020-11-05,http://www.jobkorea.co.kr/Recruit/GI_Read/32494343?Oem_Code=C900&api=232,,2020-08-19,2020-11-01,0,0,394-**-*****,2020-11-01 02:01,2020-11-03 02:00,Y,Y,2020-11-01
36136312,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jsj2288?Oem_Code=C900&api=232,어반스피릿,어반스피릿 바리스타 채용공고,,경력,1년 이상,1,월급,190만원,190;0,N,학력무관,바리스타;커피숍;디저트;음식료;카페;매장관리,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직,○,사원급; 면접 후 결정; 팀원; 팀장/매니저/실장,성남시 분당구,2020-11-20,http://www.jobkorea.co.kr/Recruit/GI_Read/32521452?Oem_Code=C900&api=232,,2020-08-22,2020-10-31,0,0,569-**-*****,2020-11-01 02:01,2020-11-02 02:00,Y,Y,2020-11-01
36143774,http://www.jobkorea.co.kr/Recruit/Co_Read/C/yulspring?Oem_Code=C900&api=232,노무법인율천,급여관리; 4대보험 담당자 채용,,신입/경력,1년 이상,1,월급,2200만원 ~ 2600만원,2200;2600,N,학력무관,노무법인;급여관리,,잡코리아 온라인 접수,정규직; 계약직,○,주임~대리급; 팀원,수원시 영통구; 수원시 장안구; 수원시 팔달구,2020-11-22,http://www.jobkorea.co.kr/Recruit/GI_Read/32530093?Oem_Code=C900&api=232,,2020-08-24,2020-11-02,0,0,730-**-*****,2020-11-03 02:00,2020-11-03 02:00,Y,N,2020-11-03
