채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
37710221,http://www.jobkorea.co.kr/Recruit/Co_Read/C/chouettemari0?Oem_Code=C900&api=232,슈에뜨마리,슈에뜨마리 본식 메인/서브 촬영자 (경력;프리랜서),,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,편집;사진관;촬영보조;카메라;포토그래퍼;포토샵,,잡코리아 온라인 접수; E-메일 입사지원,계약직; 프리랜서,○,,화성시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34299056?Oem_Code=C900&api=232,,2021-03-29,2021-08-02,0,0,868-**-*****,2021-08-03 02:00,2021-08-03 02:00,Y,N,2021-08-03
38047383,http://www.jobkorea.co.kr/Recruit/Co_Read/C/handsomemk?Oem_Code=C900&api=232,좋은날부동산합동공인중개사사무소,좋은날부동산 신입 or 경력직원 채용공고,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,부동산중개;부동산컨설팅;분양;상가;아파트,,잡코리아 온라인 접수,정규직,○,사원급; 면접 후 결정; 팀원,광주시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34677244?Oem_Code=C900&api=232,,2021-05-07,2021-07-31,0,0,670-**-*****,2021-08-01 02:01,2021-08-02 02:00,Y,Y,2021-08-01
38065875,http://www.jobkorea.co.kr/Recruit/Co_Read/C/caramellounge?Oem_Code=C900&api=232,캐러멜라운지,디자인팀 정규직; 계약직 충원중입니다. ( 공간기획자; 스타일링 ),,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,스타일링;실내건축;인테리어;CAD;인테리어설계;인테리어시공,,잡코리아 온라인 접수,정규직; 계약직,○,사원급; 주임~대리급; 팀원; 팀장/매니저/실장,용산구; 성남시 수정구,2021-08-08,http://www.jobkorea.co.kr/Recruit/GI_Read/34698477?Oem_Code=C900&api=232,,2021-05-10,2021-08-01,0,0,677-**-*****,2021-08-02 02:00,2021-08-03 01:59,Y,Y,2021-08-02
38077912,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sirius001?Oem_Code=C900&api=232,시리우스㈜,[송탄; 장당공단] 2교대 생산직 사원 모집,,신입,,0,월급,280만원 ~ 290만원,280;290,N,학력무관,디스플레이;반도체;반도체장비;생산직;기능직,,잡코리아 온라인 접수,정규직,1,사원급     ,평택시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34711701?Oem_Code=C900&api=232,,2021-05-11,2021-08-02,0,0,125-**-*****,2021-08-03 02:01,2021-08-03 02:01,Y,N,2021-08-03
38085359,http://www.jobkorea.co.kr/Recruit/Co_Read/C/leehanedu?Oem_Code=C900&api=232,리한에듀영어학원,[리한에듀영어]영어전임선생님 채용,,경력,1년 이상,1,연봉,3600만원 ~ 4000만원,3600;4000,Y,대졸(4년),보습학원;영어학원;입시학원;학원강사;영어강사;일반학원강사;입시학원강사;전임강사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,팀원,오산시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34719862?Oem_Code=C900&api=232,,2021-05-11,2021-08-02,0,0,891-**-*****,2021-08-03 02:00,2021-08-03 02:00,Y,N,2021-08-03
38090871,http://www.jobkorea.co.kr/Recruit/Co_Read/C/whitemotif01?Oem_Code=C900&api=232,화이트모티브,2021년 화이트모티브 하반기 고객상담 / 신입 및 경력사원 모집,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,프로덕션;문서관리;문서작성;사무보조;워드;마케팅;마케팅기획;소셜미디어;업무제휴;고객상담;고객응대;고객지원;CS,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,사원급; 팀원,고양시 일산동구; 마포구; 서대문구,2021-08-10,http://www.jobkorea.co.kr/Recruit/GI_Read/34725986?Oem_Code=C900&api=232,,2021-05-12,2021-07-31,0,0,795-**-*****,2021-08-01 02:00,2021-08-02 02:00,Y,Y,2021-08-01
38093310,http://www.jobkorea.co.kr/Recruit/Co_Read/C/edusfs?Oem_Code=C900&api=232,㈜서울기업교육원,[중소기업 출강강사] 아나운서/쇼호스트 경력자 특별채용,,관계없음,,0,회사 내규에 따름,,0;0,N,학력무관,기업교육;CS교육;기상캐스터;리포터;쇼호스트;아나운서,,잡코리아 온라인 접수,정규직; 계약직,6,팀원; 팀장/매니저/실장,영등포구; 서울특별시 전지역; 경기도 전지역; 인천광역시 전지역,2021-08-07,http://www.jobkorea.co.kr/Recruit/GI_Read/34728648?Oem_Code=C900&api=232,,2021-05-12,2021-07-31,0,0,496-**-*****,2021-08-01 02:00,2021-08-02 02:00,Y,Y,2021-08-01
38127643,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jsorient?Oem_Code=C900&api=232,제일한의원,[추가구인] 안성 공도 제일한의원   주5일근무 간호조무사 모십니다 (치료실& 탕전실),,관계없음,,0,연봉,2600만원 ~ 2600만원,2600;2600,N,학력무관,간호조무사;한의원,,잡코리아 온라인 접수; 방문접수,정규직,1,팀원,안성시     ,2021-08-15,http://www.jobkorea.co.kr/Recruit/GI_Read/34767740?Oem_Code=C900&api=232,,2021-05-17,2021-07-31,0,0,125-**-*****,2021-08-01 02:00,2021-08-02 02:00,Y,Y,2021-08-01
38129022,http://www.jobkorea.co.kr/Recruit/Co_Read/C/jhek0905?Oem_Code=C900&api=232,교하,[주간]쓱배송 이마트 담당자 채용(기본급300&추가),,관계없음,,0,월급,500만원 ~ 600만원,500;600,N,학력무관,물류;물류센터;배송;육상운송;입출고관리;배차;보세운송;원부자재구매;자재통합;납품;물류관리;택배;수행기사;승용기사;운전기사;유통관리;재고관리;프랜차이즈;공정관리;생산관리;원가관리;품질관리;밀링;설비;유리;제조,,잡코리아 온라인 접수,정규직; 계약직,○○,사원급; 주임~대리급; 과장~차장급; 부장급; 면접 후 결정; 팀원; 팀장/매니저/실장; 파트장/그룹장; 본부장/센터장; 지점장/지사장/원장/국장,파주시; 안양시 동안구; 안산시 상록구; 성남시 수정구; 군포시; 고양시 일산동구; 강북구; 도봉구; 중랑구; 중구; 남동구; 세종특별자치시 전지역; 충주시; 김천시,2021-08-07,http://www.jobkorea.co.kr/Recruit/GI_Read/34769192?Oem_Code=C900&api=232,,2021-05-17,2021-07-31,0,0,788-**-*****,2021-08-01 02:00,2021-08-02 02:00,Y,Y,2021-08-01
38177210,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kss8686?Oem_Code=C900&api=232,자연과한의원,자연과한의원 안산점 코디네이터 선생님 모집합니다.,,관계없음,,0,회사 내규에 따름,,0;0,N,학력무관,한의과;안내;코디네이터;접수,,잡코리아 온라인 접수,정규직,1,사원급     ,안산시 단원구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34823292?Oem_Code=C900&api=232,,2021-05-23,2021-07-31,0,0,422-**-*****,2021-08-01 02:00,2021-08-02 02:00,Y,Y,2021-08-01
38239912,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ddthhh?Oem_Code=C900&api=232,케이플래그,사무관리 및 배송,,관계없음,,0,연봉,3600만원,0;3600,N,학력무관,경영·사무;사무보조;물류;배차;상품입출고,,잡코리아 온라인 접수; 방문접수; 홈페이지 지원,정규직,○,,송파구; 광진구; 성동구; 종로구; 성남시 분당구; 성남시 수정구; 성남시 중원구,2021-08-28,http://www.jobkorea.co.kr/Recruit/GI_Read/34893293?Oem_Code=C900&api=232,,2021-05-30,2021-07-31,0,0,215-**-*****,2021-08-01 02:01,2021-08-02 02:00,Y,Y,2021-08-01
38241202,http://www.jobkorea.co.kr/Recruit/Co_Read/C/belle2429?Oem_Code=C900&api=232,Santa Luchia,범계 이탈리안 레스토랑 산타루치아 주방 경력직 직원 모집,,경력,1년 이상,1,월급,190만원 ~ 220만원,190;220,Y,고졸,조리사;양식당;음식료;요리사;주방보조,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직,○,사원급; 면접 후 결정; 팀원,안양시 동안구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34894935?Oem_Code=C900&api=232,,2021-05-31,2021-08-01,0,0,138-**-*****,2021-08-02 02:00,2021-08-03 01:59,Y,Y,2021-08-02
38251543,http://www.jobkorea.co.kr/Recruit/Co_Read/C/successaca?Oem_Code=C900&api=232,석세스아카,석세스아카 국어; 영어; 수학; 사회; 과학 초/중/고 과목별 화상 과외 선생님 모집합니다,,관계없음,,0,시급,20000원,20000;0,N,학력무관,교육상담;수강생관리;회원관리;공부방교사;과외교사;영어강사;온라인통신교육;학습지교사,,잡코리아 온라인 접수,계약직,○○,,,2021-08-29,http://www.jobkorea.co.kr/Recruit/GI_Read/34906304?Oem_Code=C900&api=232,,2021-05-31,2021-08-02,0,0,218-**-*****,2021-08-03 02:00,2021-08-03 02:00,Y,N,2021-08-03
