채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
37269393,http://www.jobkorea.co.kr/Recruit/Co_Read/C/newdasomi?Oem_Code=C900&api=232,㈜다소미,(초보;경력)인터넷마케팅 다양한경험 축적가능,,신입/경력,2년 이상,2,연봉,3000만원 ~ 4000만원,3000;4000,Y,학력무관,인큐베이팅;IT컨설팅;마케팅;업무제휴;온라인마케팅;키워드광고,,잡코리아 온라인 접수,정규직,2,사원급; 주임~대리급; 과장~차장급; 팀원; 팀장/매니저/실장,,2021-05-02,http://www.jobkorea.co.kr/Recruit/GI_Read/33801513?Oem_Code=C900&api=232,,2021-02-01,2021-05-01,0,0,408-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
37362550,http://www.jobkorea.co.kr/Recruit/Co_Read/C/iste2013?Oem_Code=C900&api=232,㈜아이에스티이,[경력] MCT 및 품질관리 정규직 모집 공고,,경력,3년 이상,3,회사 내규에 따름,,0;0,Y,학력무관,CNC;MCT;품질관리;기계,,잡코리아 온라인 접수,정규직,○,주임~대리급,화성시; 수원시 권선구; 수원시 장안구; 수원시 팔달구; 수원시 영통구; 오산시,2021-05-16,http://www.jobkorea.co.kr/Recruit/GI_Read/33908717?Oem_Code=C900&api=232,,2021-02-15,2021-05-01,0,0,135-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
37386501,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ekdlfprxmfhs1?Oem_Code=C900&api=232,㈜다이렉트론,부천 2차 대출신청고객 TM 상담접수 (경력직)대출상담사 모집합니다.,,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,여신;저축은행;종합금융;캐피탈;개인고객영업;금융영업;고객상담;인바운드TM,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직,○○,사원급; 팀장/매니저/실장,,2021-05-19,http://www.jobkorea.co.kr/Recruit/GI_Read/33935451?Oem_Code=C900&api=232,,2021-02-18,2021-04-30,0,0,310-**-*****,2021-05-01 02:00,2021-05-02 02:00,Y,Y,2021-05-01
37409802,http://www.jobkorea.co.kr/Recruit/Co_Read/C/aidkorea161?Oem_Code=C900&api=232,에이드코리아컴퍼니㈜,유통영업/대리점관리/특판처관리/신규거래선개발 등 [뷰티/퍼스널케어/생활용품 외],,경력,3년 이상,3,회사 내규에 따름,,0;0,Y,학력무관,생활용품;소비재;국내영업;거래선개발관리;거래처관리;대리점관리;매출관리;영업관리;판매관리,,잡코리아 온라인 접수,정규직,○,주임~대리급; 과장~차장급,남양주시   ,2021-05-22,http://www.jobkorea.co.kr/Recruit/GI_Read/33962067?Oem_Code=C900&api=232,,2021-02-21,2021-04-30,0,0,449-**-*****,2021-05-01 02:00,2021-05-02 02:00,Y,Y,2021-05-01
37419196,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dsjindan?Oem_Code=C900&api=232,㈜대한시설진단연구원,시설물안전진단캐드 및 문서작업 인원 채용,,경력,1년 이상,1,회사 내규에 따름,,0;0,N,고졸,2D;AutoCad;CAD,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직,○,사원급; 주임~대리급,군포시     ,2021-05-23,http://www.jobkorea.co.kr/Recruit/GI_Read/33972506?Oem_Code=C900&api=232,,2021-02-22,2021-05-02,0,0,898-**-*****,2021-05-03 02:00,2021-05-03 02:00,Y,N,2021-05-03
37427251,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ophir2020?Oem_Code=C900&api=232,오빌㈜,인터넷 쇼핑몰 운영 및 상품기획,,관계없음,,0,시급,8720원,8720;0,Y,학력무관,상품기획;소셜커머스;쇼핑몰;오픈마켓;전자상거래;그래픽디자인;시각디자인;일러스트레이터;포토샵,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 인턴직; 아르바이트,1,,의정부시   ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/33981358?Oem_Code=C900&api=232,,2021-02-23,2021-04-30,0,0,272-**-*****,2021-05-01 02:00,2021-05-02 02:00,Y,Y,2021-05-01
37446480,http://www.jobkorea.co.kr/Recruit/Co_Read/C/moapln?Oem_Code=C900&api=232,모아플래닛,[재택근무] Flutter(플러터) 개발자 모집,,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,모바일App;웹프로그래머;Java;MySQL;php;Python;아이폰;안드로이드;C#;인공지능(AI);빅데이터;사물인터넷(IoT);챗봇(Chatbot),,잡코리아 온라인 접수,계약직; 프리랜서,1,,안양시 동안구; 경기도 전지역; 서울특별시 전지역; 인천광역시 전지역,2021-05-26,http://www.jobkorea.co.kr/Recruit/GI_Read/34002835?Oem_Code=C900&api=232,,2021-02-25,2021-05-01,0,0,513-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
37448034,http://www.jobkorea.co.kr/Recruit/Co_Read/C/moapln?Oem_Code=C900&api=232,모아플래닛,프로젝트 매니저(PM) 모집,,관계없음,,0,회사 내규에 따름,,0;0,N,학력무관,모바일App;기획;사업기획;서비스기획;조직관리;모바일기획;스토리보드;웹기획;제안·컨설팅;PM,,잡코리아 온라인 접수,계약직; 프리랜서,○,,안양시 동안구; 서울특별시 전지역; 경기도 전지역; 인천광역시 전지역,2021-05-26,http://www.jobkorea.co.kr/Recruit/GI_Read/34004557?Oem_Code=C900&api=232,,2021-02-25,2021-05-01,0,0,513-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
37459810,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dikes0?Oem_Code=C900&api=232,에이치제이테크,영업의 정점 (분양상담사) 신입/경력 모집합니다,,관계없음,,0,건별,5000000원,5000000;0,Y,학력무관,건설;토목;부동산영업;아웃바운드TM;고객응대;인바운드TM,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직; 계약직; 프리랜서,0,사원급; 주임~대리급; 과장~차장급; 팀원,수원시 팔달구; 수원시 영통구; 수원시 권선구; 수원시 장안구; 경기도 전지역,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34017849?Oem_Code=C900&api=232,,2021-02-26,2021-05-01,0,0,408-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
37460728,http://www.jobkorea.co.kr/Recruit/Co_Read/C/moapln?Oem_Code=C900&api=232,모아플래닛,O2O플랫폼 서비스 기획자 모집,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,웹에이전시;기획;사업기획;사업제휴;서비스기획;신규사업·BD;기술영업;기술지원;솔루션영업;신기술영업;웹사이트구축영업;모바일기획;스토리보드;웹기획;웹서비스기획;UI설계,,잡코리아 온라인 접수,계약직; 프리랜서,○,,안양시 동안구; 경기도 전지역; 서울특별시 전지역; 인천광역시 전지역,2021-05-27,http://www.jobkorea.co.kr/Recruit/GI_Read/34018920?Oem_Code=C900&api=232,,2021-02-26,2021-05-01,0,0,513-**-*****,2021-05-02 02:00,2021-05-03 01:59,Y,Y,2021-05-02
