채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
37498398,http://www.jobkorea.co.kr/Recruit/Co_Read/C/mekongthai102?Oem_Code=C900&api=232,메콩타이 동탄 센트럴파크점,메콩타이 동탄 센트럴파크점 주방 정 직원 모집,,관계없음,,0,월급,260만원 ~ 290만원,260;290,N,학력무관,식품;양식당;중식당;프랜차이즈;한식당;요리사;조리사;주방보조,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,사원급; 과장~차장급; 팀원,화성시     ,2021-06-02,http://www.jobkorea.co.kr/Recruit/GI_Read/34061342?Oem_Code=C900&api=232,,2021-03-04,2021-05-31,0,0,135-**-*****,2021-06-01 02:00,2021-06-02 02:00,Y,Y,2021-06-01
37525415,http://www.jobkorea.co.kr/Recruit/Co_Read/C/490000dream?Oem_Code=C900&api=232,㈜태건산업개발,[태건산업개발] 재무/회계 신입 및 경력직 채용,,신입/경력,3년 이상,3,회사 내규에 따름,,0;0,Y,대졸(2~3년),부동산관리;부동산금융;부동산운용;부동산컨설팅;부동산투자;결산;더존;부가세신고;세무;전산회계;자금;재무;재무회계,,잡코리아 온라인 접수,정규직,○,사원급; 주임~대리급; 과장~차장급,강남구; 서초구; 수원시 권선구,2021-06-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34091868?Oem_Code=C900&api=232,,2021-03-08,2021-05-31,0,0,777-**-*****,2021-06-01 02:00,2021-06-02 02:00,Y,Y,2021-06-01
37525664,http://www.jobkorea.co.kr/Recruit/Co_Read/C/49000dream?Oem_Code=C900&api=232,㈜태건종합건설,[강남신축현장] 차병원사거리 신축현장 전기/소방/설비/건축/안전 (신입;경력)대모집,,신입/경력,3년 이상,3,회사 내규에 따름,,0;0,N,대졸(4년),감리;건축기사;건축시공;공무;산업안전;실내건축;인테리어;건설현장;현장관리;현장소장;건설안전,,잡코리아 온라인 접수,정규직,○○,사원급; 주임~대리급; 과장~차장급,강남구; 서초구; 수원시 권선구,2021-06-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34092127?Oem_Code=C900&api=232,,2021-03-08,2021-05-31,0,0,335-**-*****,2021-06-01 02:00,2021-06-02 02:00,Y,Y,2021-06-01
37527410,http://www.jobkorea.co.kr/Recruit/Co_Read/C/dym2573?Oem_Code=C900&api=232,대영채비㈜,전기차 충전기 A/S직원 채용 (전국지사 모집),,관계없음,,0,연봉,3000만원,3000;0,Y,대졸(2~3년),자동제어;전기;안전;품질관리;환경관리;기계;운전;검사;기술지원;수리;유지보수;정비;A·S,,잡코리아 온라인 접수,정규직,○○,,달성군; 성남시 분당구; 아산시; 전라북도 전지역; 경상남도 전지역; 용인시 수지구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34093991?Oem_Code=C900&api=232,,2021-03-08,2021-06-01,0,0,670-**-*****,2021-06-02 02:00,2021-06-03 02:00,Y,Y,2021-06-02
37529329,http://www.jobkorea.co.kr/Recruit/Co_Read/C/enplogis?Oem_Code=C900&api=232,이엔피(ENP)로지스,주간) 전산; 사무업무 담당자 채용합니다.,,신입/경력,1년 이상,1,연봉,2600만원 ~ 2800만원,2600;2800,Y,학력무관,물류;물류관리;물류센터;입출고관리;문서관리;문서작성;전산입력;Excel,,잡코리아 온라인 접수,정규직,○,사원급; 팀원,용인시 처인구,2021-06-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34096078?Oem_Code=C900&api=232,,2021-03-08,2021-06-01,0,0,250-**-*****,2021-06-02 02:01,2021-06-03 02:00,Y,Y,2021-06-02
37532466,http://www.jobkorea.co.kr/Recruit/Co_Read/C/49000dream?Oem_Code=C900&api=232,㈜태건종합건설,[태건종합건설] 자산운용 그룹군내 전략사업 창립멤버 출범요원(신입;경력),,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,대졸(2~3년),도시개발;부동산개발;부동산금융;부동산운용;부동산투자;사업기획;금융자산관리사;투자상담;영업지원,,잡코리아 온라인 접수,정규직,○○,,강남구; 서초구; 수원시 권선구,2021-06-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34099572?Oem_Code=C900&api=232,,2021-03-08,2021-05-31,0,0,335-**-*****,2021-06-01 02:00,2021-06-02 02:00,Y,Y,2021-06-01
37532476,http://www.jobkorea.co.kr/Recruit/Co_Read/C/49000dream?Oem_Code=C900&api=232,㈜태건종합건설,[태건종합건설] 급여관리/부가세신고/결산(더존능숙자)직원모집,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,대졸(2~3년),건축;건축기사;건축시공;공무;산업안전;결산;기장;법인결산;재무;회계,,잡코리아 온라인 접수,정규직,○○,,강남구; 서초구; 수원시 권선구,2021-06-06,http://www.jobkorea.co.kr/Recruit/GI_Read/34099588?Oem_Code=C900&api=232,,2021-03-08,2021-05-31,0,0,335-**-*****,2021-06-01 02:00,2021-06-02 02:00,Y,Y,2021-06-01
37544982,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kksudo2018?Oem_Code=C900&api=232,경기수도건설,파주시 상하수도 035미니 굴삭기 기사(숙련자) 모집(1명),,경력,1년 이상,1,연봉,4300만원 ~ 5500만원,4300;5500,Y,학력무관,상하수도,,잡코리아 온라인 접수,정규직,1,주임~대리급,파주시     ,2021-06-08,http://www.jobkorea.co.kr/Recruit/GI_Read/34113394?Oem_Code=C900&api=232,,2021-03-10,2021-06-02,0,0,563-**-*****,2021-06-03 02:00,2021-06-03 02:00,Y,N,2021-06-03
37559613,http://www.jobkorea.co.kr/Recruit/Co_Read/C/luminaskin?Oem_Code=C900&api=232,루미나피부과의원,[신분당선 성복역] 루미나피부과 피부관리사/간호조무사 충원합니다,,관계없음,,0,회사 내규에 따름,,0;0,Y,고졸,병원;코디네이터;피부관리;간호조무사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○○,사원급; 팀원,용인시 수지구,2021-06-09,http://www.jobkorea.co.kr/Recruit/GI_Read/34129652?Oem_Code=C900&api=232,,2021-03-11,2021-06-01,0,0,581-**-*****,2021-06-02 02:01,2021-06-03 02:00,Y,Y,2021-06-02
37591218,http://www.jobkorea.co.kr/Recruit/Co_Read/C/lin980423?Oem_Code=C900&api=232,카메이트,차량 정비점검 기사 및 알선딜러 모집,,관계없음,,0,월급,250만원 ~ 300만원,250;300,N,학력무관,상사;자동차정비,,잡코리아 온라인 접수,정규직,1,,수원시 권선구,2021-06-13,http://www.jobkorea.co.kr/Recruit/GI_Read/34165319?Oem_Code=C900&api=232,,2021-03-15,2021-06-02,0,0,438-**-*****,2021-06-03 02:00,2021-06-03 02:00,Y,N,2021-06-03
