채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
37760889,http://www.jobkorea.co.kr/Recruit/Co_Read/C/c3dongtan?Oem_Code=C900&api=232,씨큐브코딩화성동탄학원,CMS에듀 [씨큐브코딩] 화성동탄센터 초중고등 코딩강사 채용,,신입/경력,1년 이상,1,연봉,3000만원 ~ 3600만원,3000;3600,N,대졸(2~3년),IT학원;기술직강사;컴퓨터학원강사,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직,1,사원급     ,화성시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34356172?Oem_Code=C900&api=232,,2021-04-05,2021-07-01,0,0,107-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
37763935,http://www.jobkorea.co.kr/Recruit/Co_Read/C/DMT1017?Oem_Code=C900&api=232,디엠텍,제조업 품질관리원 모집 합니다,,관계없음,,0,연봉,2600만원,2600;0,Y,학력무관,자재;품질;환경관리,,잡코리아 온라인 접수; E-메일 입사지원,정규직,1,,,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34359629?Oem_Code=C900&api=232,,2021-04-05,2021-06-30,0,0,130-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37830631,http://www.jobkorea.co.kr/Recruit/Co_Read/C/nhnrecruit4?Oem_Code=C900&api=232,엔에이치엔㈜,[NHN] O2O 신규사업 마케팅 전략 경력 채용,,경력,5년 이상,5,회사 내규에 따름,,0;0,N,학력무관,모바일앱개발;소프트웨어개발;솔루션;기획;사업기획;서비스기획;신규사업·BD,,홈페이지 지원,정규직,○,,성남시 분당구,2021-07-11,http://www.jobkorea.co.kr/Recruit/GI_Read/34434186?Oem_Code=C900&api=232,,2021-04-12,2021-06-30,0,0,144-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37834864,http://www.jobkorea.co.kr/Recruit/Co_Read/C/490dream?Oem_Code=C900&api=232,㈜태건자산관리,[태건 공인중개사] 법인부동산 임대관리 및 계약서관리 신입/경력,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,대졸(2~3년),부동산개발;부동산관리;부동산서비스;부동산중개;공인중개사;부동산시행;주택관리사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○○,,오산시; 강남구; 안양시 만안구,2021-07-11,http://www.jobkorea.co.kr/Recruit/GI_Read/34438765?Oem_Code=C900&api=232,,2021-04-12,2021-07-02,0,0,525-**-*****,2021-07-03 02:00,2021-07-03 02:00,Y,N,2021-07-03
37844849,http://www.jobkorea.co.kr/Recruit/Co_Read/C/amb121212?Oem_Code=C900&api=232,㈜하나이엠에스,㈜하나EMS수원 구급차 운전직 채용합니다,,관계없음,,0,월급,200만원,200;0,Y,학력무관,운전기사;구급차기사,,잡코리아 온라인 접수; 방문접수,정규직; 계약직,2,사원급     ,수원시 영통구,2021-07-12,http://www.jobkorea.co.kr/Recruit/GI_Read/34449666?Oem_Code=C900&api=232,,2021-04-13,2021-06-30,0,0,576-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37857220,http://www.jobkorea.co.kr/Recruit/Co_Read/C/490dream?Oem_Code=C900&api=232,㈜태건자산관리,강남대로 뱅뱅사거리 신축현장 전기/소방/설비/건축/안전 신입 및 경력 직원모집,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,N,대졸(2~3년),감리;건축;건축시공;공무;산업안전;건설현장,,잡코리아 온라인 접수,정규직,○○,,강남구; 수원시 권선구; 서초구,2021-07-13,http://www.jobkorea.co.kr/Recruit/GI_Read/34463341?Oem_Code=C900&api=232,,2021-04-14,2021-07-02,0,0,525-**-*****,2021-07-03 02:00,2021-07-03 02:00,Y,N,2021-07-03
37875847,http://www.jobkorea.co.kr/Recruit/Co_Read/C/supremainc?Oem_Code=C900&api=232,슈프리마,[4.5일제][슈프리마그룹 모회사 슈프리마HQ] 정보 시스템 개발 및 운영,,신입/경력,3년 이상,3,회사 내규에 따름,,0;0,N,대졸(4년),.NET;ASP.NET;Java;MS-SQL;C#,,잡코리아 온라인 접수,정규직,○,,성남시 분당구,2021-07-15,http://www.jobkorea.co.kr/Recruit/GI_Read/34484273?Oem_Code=C900&api=232,,2021-04-16,2021-07-01,0,0,431-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
37880146,http://www.jobkorea.co.kr/Recruit/Co_Read/C/vkohs01?Oem_Code=C900&api=232,고려합성㈜,생산부 직원 모집합니다(관리자육성차원),,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,고졸,생활용품;공정;공정관리;생산;생산관리;자재관리;생산직,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,사원급; 면접 후 결정,파주시; 고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 김포시; 경기도 전지역,2021-07-16,http://www.jobkorea.co.kr/Recruit/GI_Read/34489159?Oem_Code=C900&api=232,,2021-04-17,2021-07-01,0,0,141-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37884165,http://www.jobkorea.co.kr/Recruit/Co_Read/C/juhanna0221?Oem_Code=C900&api=232,세모팬,세모팬 (국제출장세차) 주5일 야간 아파트 출장세차 알바 및 직원,,관계없음,,0,월급,270만원 ~ 350만원,270;350,Y,학력무관,세차,,잡코리아 온라인 접수,정규직; 아르바이트,○○,사원급; 팀원; 팀장/매니저/실장,은평구; 고양시 덕양구,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34494196?Oem_Code=C900&api=232,,2021-04-19,2021-06-30,0,0,109-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37884292,http://www.jobkorea.co.kr/Recruit/Co_Read/C/o2zone2006?Oem_Code=C900&api=232,오투존 휘트니스,오투존 휘트니스 김포점 트레이너 모집,,관계없음,,0,월급,212만원 ~ 1000만원,212;1000,Y,대졸(2~3년),헬스트레이너;휘트니스센터,,잡코리아 온라인 접수,정규직; 계약직; 프리랜서,○,팀원; 팀장/매니저/실장,김포시     ,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34494364?Oem_Code=C900&api=232,,2021-04-19,2021-07-01,0,0,207-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
37884341,http://www.jobkorea.co.kr/Recruit/Co_Read/C/o2zone2006?Oem_Code=C900&api=232,오투존 휘트니스,오투존 휘트니스 파주점 트레이너 모집,,관계없음,,0,월급,212만원 ~ 1000만원,212;1000,N,대졸(2~3년),헬스트레이너;휘트니스센터,,잡코리아 온라인 접수,정규직; 계약직; 프리랜서,○,팀원; 팀장/매니저/실장,파주시; 김포시,2070-01-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34494427?Oem_Code=C900&api=232,,2021-04-19,2021-07-01,0,0,207-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
37894642,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sswintech2019?Oem_Code=C900&api=232,삼성윈테크㈜,[FPCB] 2021년 상반기 경력직 인원 채용 - 국내/해외 영업팀 및 영업관리,,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,FPCB;유통;수출입계약;중국어;해외마케팅;해외영업;구매관리;외자구매;자재구매;자재구매기획;국내영업;기술영업;일반영업;장비영업;거래선개발관리;고객관리;영업관리;외주관리,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직,○○,,연수구; 경기도 전지역; 김포시; 수원시 권선구; 시흥시; 안산시 단원구; 안산시 상록구; 서울특별시 전지역; 인천광역시 전지역; 남구; 남동구; 부평구; 서구; 중구,2021-07-16,http://www.jobkorea.co.kr/Recruit/GI_Read/34505787?Oem_Code=C900&api=232,,2021-04-19,2021-06-30,0,0,280-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37894953,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sswintech2019?Oem_Code=C900&api=232,삼성윈테크㈜,OEM 스타트업 [FPCB 원.부자재] 국내영업 인원 채용,,신입/경력,1년 이상,1,연봉,3500만원 ~ 5000만원,3500;5000,Y,학력무관,FPCB;유통;무역일반;바이어개발;바이어관리;수출입계약;중국어;거래선개발관리;거래처관리;영업관리;영업지원;디스플레이;전기·전자;전기·전자회로;품질엔지니어;회로설계,,잡코리아 온라인 접수,정규직; 계약직,○○,주임~대리급; 과장~차장급,연수구; 경기도 전지역; 시흥시; 안산시 단원구; 서울특별시 전지역; 인천광역시 전지역; 남구; 남동구; 부평구; 서구; 중구; 안산시 상록구; 김포시; 수원시 권선구,2021-07-16,http://www.jobkorea.co.kr/Recruit/GI_Read/34506133?Oem_Code=C900&api=232,,2021-04-19,2021-06-30,0,0,280-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37896564,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sswintech2019?Oem_Code=C900&api=232,삼성윈테크㈜,FPCB[원;부자재] 영업관리[OEM] 경력직 인원 채용,,경력,1년 이상,1,연봉,3500만원 ~ 6000만원,3500;6000,Y,학력무관,FPCB;디스플레이;반도체장비;회로설계;LED;경영기획;사업기획;조직관리;거래선개발관리;거래처관리;영업관리;영업기획;영업지원;생산기술;전기·전자;터치스크린;전기·전자회로;품질엔지니어,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직; 계약직,○,주임~대리급; 과장~차장급; 부장급,연수구; 경기도 전지역; 시흥시; 안산시 단원구; 서울특별시 전지역; 인천광역시 전지역; 남구; 남동구; 부평구; 서구; 중구; 안산시 상록구; 김포시; 수원시 권선구,2021-07-16,http://www.jobkorea.co.kr/Recruit/GI_Read/34507876?Oem_Code=C900&api=232,,2021-04-19,2021-06-30,0,0,280-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37899820,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sswintech2019?Oem_Code=C900&api=232,삼성윈테크㈜,2021년[영업/영업관리] 경력직 인원 채용 [FPCB원;부자재],,경력,1년 이상,1,연봉,3500만원 ~ 6000만원,3500;6000,Y,학력무관,FPCB;유통;경영기획;사업기획;조직관리;거래선개발관리;거래처관리;영업관리;영업기획;영업지원;디스플레이;생산기술;전기·전자;터치스크린;전기·전자회로;품질엔지니어;회로설계,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직; 계약직,○,과장~차장급; 부장급; 파트장/그룹장,연수구; 경기도 전지역; 시흥시; 안산시 단원구; 서울특별시 전지역; 인천광역시 전지역; 남구; 남동구; 부평구; 서구; 중구; 안산시 상록구; 김포시; 수원시 권선구,2021-07-16,http://www.jobkorea.co.kr/Recruit/GI_Read/34511523?Oem_Code=C900&api=232,,2021-04-20,2021-06-30,0,0,280-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37951988,http://www.jobkorea.co.kr/Recruit/Co_Read/C/besttour?Oem_Code=C900&api=232,로지포커스㈜,3PL 물류운영 정규직 모집(안성/용인센터),,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,물류;물류관리;물류센터;입출고관리;창고관리;상품입출고;유통관리;거래선개발관리;거래처관리;영업관리;영업기획;영업지원,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,주임~대리급; 과장~차장급; 부장급,안성시; 파주시; 화성시; 이천시; 용인시 처인구; 천안시 동남구; 평택시,2021-07-25,http://www.jobkorea.co.kr/Recruit/GI_Read/34570520?Oem_Code=C900&api=232,,2021-04-26,2021-07-02,0,0,215-**-*****,2021-07-03 02:00,2021-07-03 02:00,Y,N,2021-07-03
37954623,http://www.jobkorea.co.kr/Recruit/Co_Read/C/gil11112?Oem_Code=C900&api=232,주식회사 길,평택세관장치장 물류 알바 모집,,관계없음,,0,일급,110000원,110000;0,N,학력무관,물류센터,,잡코리아 온라인 접수; E-메일 입사지원,계약직,10,,평택시; 중구,2021-07-25,http://www.jobkorea.co.kr/Recruit/GI_Read/34573304?Oem_Code=C900&api=232,,2021-04-26,2021-07-02,0,0,508-**-*****,2021-07-03 02:00,2021-07-03 02:00,Y,N,2021-07-03
37971415,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ssbhuman?Oem_Code=C900&api=232,소사벌휴먼피부과,최고우대 간호조무사 & 피부관리사 정규직 추가모집합니다(신입;경력),,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,피부과;피부관리;간호조무사,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,평택시; 천안시 동남구; 아산시; 안성시; 오산시; 화성시,2021-07-27,http://www.jobkorea.co.kr/Recruit/GI_Read/34591856?Oem_Code=C900&api=232,,2021-04-28,2021-07-01,0,0,244-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
37984924,http://www.jobkorea.co.kr/Recruit/Co_Read/C/vkohs01?Oem_Code=C900&api=232,고려합성㈜,생산부 직원 모집합니다,,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,고졸,생활용품;공정;공정관리;생산;생산관리;자재관리;생산직,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,사원급; 면접 후 결정,파주시; 고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 김포시; 경기도 전지역,2021-07-28,http://www.jobkorea.co.kr/Recruit/GI_Read/34606870?Oem_Code=C900&api=232,,2021-04-29,2021-07-01,0,0,141-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
37998024,http://www.jobkorea.co.kr/Recruit/Co_Read/C/doctorsgg?Oem_Code=C900&api=232,닥터스피부과의원 광교점,코디;간호;관리팀 추가모집합니다.(4.5일제예정),,신입/경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,간호조무;상담실장;코디네이터;고객지원;피부관리;간호사;간호실장;수간호사;간호조무사;안내;원무행정;야간당직자;구매;병원시설관리;접수;보험심사·청구;기타의료직,,잡코리아 온라인 접수; E-메일 입사지원,정규직; 계약직; 아르바이트,○,,경기도 전지역; 성남시 분당구; 수원시 권선구; 수원시 장안구; 수원시 팔달구; 수원시 영통구; 용인시 수지구; 서울특별시 전지역; 강남구; 화성시; 오산시; 용인시 처인구; 용인시 기흥구; 의왕시; 군포시,2021-08-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34621510?Oem_Code=C900&api=232,,2021-04-30,2021-06-30,0,0,845-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
38013424,http://www.jobkorea.co.kr/Recruit/Co_Read/C/ziumdesign?Oem_Code=C900&api=232,지음건축디자인,신입/경력직 채용,,관계없음,,0,회사 내규에 따름,,0;0,Y,학력무관,리모델링;실내건축;인테리어;CAD;3D설계;실내디자인;인테리어설계;인테리어시공;건설현장;건축감리;건축시공;건축자재;종합감리;현장감리;현장관리;현장소장,,잡코리아 온라인 접수,정규직,○○,사원급; 주임~대리급; 과장~차장급,강북구; 도봉구; 종로구; 중랑구; 서울특별시 전지역; 남양주시; 경기도 전지역,2021-07-02,http://www.jobkorea.co.kr/Recruit/GI_Read/34639255?Oem_Code=C900&api=232,,2021-05-03,2021-06-30,0,0,668-**-*****,2021-07-01 02:00,2021-07-02 02:00,Y,Y,2021-07-01
38018990,http://www.jobkorea.co.kr/Recruit/Co_Read/C/do12192007?Oem_Code=C900&api=232,디오푸드,납품 및 창고재고 관리,,신입,,0,회사 내규에 따름,,0;0,Y,고졸,물류;배송;납품;물류관리;재고관리;창고관리,,잡코리아 온라인 접수,정규직,1,사원급     ,안산시 상록구,2021-08-01,http://www.jobkorea.co.kr/Recruit/GI_Read/34645330?Oem_Code=C900&api=232,,2021-05-03,2021-07-01,0,0,894-**-*****,2021-07-02 02:00,2021-07-03 01:59,Y,Y,2021-07-02
