년월,시도명,시군구명,총거주인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,총결제금액
"2019-04",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,14468630
"2019-04",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,138193924
"2019-04",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,40000
"2019-04",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,215000
"2019-04",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,98400
"2019-04",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,15783646
"2019-04",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,17971760
"2019-04",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,17241076
"2019-04",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,20392987
"2019-04",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,591504
"2019-04",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,55694010
"2019-04",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,29965010
"2019-04",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,9304924
"2019-04",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,58004
"2019-04",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-04",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,70233380
"2019-04",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,52890918
"2019-04",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,16967220
"2019-04",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,0
"2019-04",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,13592290
"2019-04",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,10919816
"2019-04",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,7104280
"2019-04",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,7471890
"2019-04",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,147004
"2019-04",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,12842376
"2019-04",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,3237200
"2019-04",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,286389
"2019-04",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,120900
"2019-04",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,721000
"2019-04",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,1523750
"2019-04",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,86343394
"2019-05",경기도,가평군,62415,3607,4857,6174,5992,8097,11668,11209,6793,3479,494,19699832
"2019-05",경기도,고양시 덕양구,466157,38863,42557,62288,66204,78358,81204,51362,29459,13765,1900,55473220
"2019-05",경기도,고양시 일산동구,297671,21857,30872,44502,38563,52855,54813,29483,15174,8245,1247,41072304
"2019-05",경기도,고양시 일산서구,302523,24093,35571,42890,36850,54307,55106,28138,15636,8720,1160,41108440
"2019-05",경기도,과천시,58289,4507,6366,8023,7806,9209,10278,6498,3457,1740,356,69396918
"2019-05",경기도,광명시,316552,25724,33063,40950,45227,55010,52573,37128,18178,7485,1074,186280537
"2019-05",경기도,광주시,372654,36223,33577,43885,59830,64543,61520,43558,20728,7573,1123,60159009
"2019-05",경기도,구리시,199265,16345,19116,27505,27578,33603,35905,22583,11399,4555,604,20938840
"2019-05",경기도,군포시,275852,22602,28069,38214,39877,45760,48316,30212,14536,7098,1100,642402202
"2019-05",경기도,김포시,437221,52071,44797,47422,71134,80358,62744,43857,23886,9519,1367,0
"2019-05",경기도,남양주시,701830,67577,77825,82728,92256,128868,113759,76344,42862,17010,2392,301250354
"2019-05",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,54680938
"2019-05",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,535058405
"2019-05",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,254900
"2019-05",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,120000
"2019-05",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,0
"2019-05",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,103409960
"2019-05",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,146631064
"2019-05",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,110845912
"2019-05",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,113027216
"2019-05",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,297900
"2019-05",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,229263383
"2019-05",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,132675292
"2019-05",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,46610170
"2019-05",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,160000
"2019-05",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-05",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,256250512
"2019-05",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,431678419
"2019-05",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,41117990
"2019-05",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,1224350
"2019-05",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,113499503
"2019-05",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,120110820
"2019-05",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,85372740
"2019-05",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,71350445
"2019-05",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,0
"2019-05",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,209565436
"2019-05",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,24207560
"2019-05",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,638200
"2019-05",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,284700
"2019-05",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,59000
"2019-05",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,244436177
"2019-05",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,588723164
"2019-06",경기도,가평군,62415,3607,4857,6174,5992,8097,11668,11209,6793,3479,494,42171318
"2019-06",경기도,고양시 덕양구,466157,38863,42557,62288,66204,78358,81204,51362,29459,13765,1900,133695870
"2019-06",경기도,고양시 일산동구,297671,21857,30872,44502,38563,52855,54813,29483,15174,8245,1247,99044203
"2019-06",경기도,고양시 일산서구,302523,24093,35571,42890,36850,54307,55106,28138,15636,8720,1160,99279914
"2019-06",경기도,과천시,58289,4507,6366,8023,7806,9209,10278,6498,3457,1740,356,130302111
"2019-06",경기도,광명시,316552,25724,33063,40950,45227,55010,52573,37128,18178,7485,1074,218827130
"2019-06",경기도,광주시,372654,36223,33577,43885,59830,64543,61520,43558,20728,7573,1123,91952200
"2019-06",경기도,구리시,199265,16345,19116,27505,27578,33603,35905,22583,11399,4555,604,133605920
"2019-06",경기도,군포시,275852,22602,28069,38214,39877,45760,48316,30212,14536,7098,1100,1310368874
"2019-06",경기도,김포시,437221,52071,44797,47422,71134,80358,62744,43857,23886,9519,1367,0
"2019-06",경기도,남양주시,701830,67577,77825,82728,92256,128868,113759,76344,42862,17010,2392,579468712
"2019-06",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,47855429
"2019-06",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,1407230198
"2019-06",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,17100
"2019-06",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,0
"2019-06",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,0
"2019-06",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,200357536
"2019-06",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,282537752
"2019-06",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,187983602
"2019-06",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,180834312
"2019-06",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,344900
"2019-06",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,458465974
"2019-06",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,290568883
"2019-06",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,88083290
"2019-06",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,332540
"2019-06",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-06",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,367804756
"2019-06",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,710145352
"2019-06",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,46490464
"2019-06",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,95424834
"2019-06",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,149466131
"2019-06",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,221755494
"2019-06",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,137326675
"2019-06",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,120350705
"2019-06",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,0
"2019-06",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,352368243
"2019-06",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,82064839
"2019-06",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,33724005
"2019-06",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,202350
"2019-06",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,10500
"2019-06",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,1180507355
"2019-06",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,1063104190
"2019-07",경기도,가평군,62415,3607,4857,6174,5992,8097,11668,11209,6793,3479,494,50282046
"2019-07",경기도,고양시 덕양구,466157,38863,42557,62288,66204,78358,81204,51362,29459,13765,1900,481331480
"2019-07",경기도,고양시 일산동구,297671,21857,30872,44502,38563,52855,54813,29483,15174,8245,1247,407480183
"2019-07",경기도,고양시 일산서구,302523,24093,35571,42890,36850,54307,55106,28138,15636,8720,1160,376127265
"2019-07",경기도,과천시,58289,4507,6366,8023,7806,9209,10278,6498,3457,1740,356,136506647
"2019-07",경기도,광명시,316552,25724,33063,40950,45227,55010,52573,37128,18178,7485,1074,401346102
"2019-07",경기도,광주시,372654,36223,33577,43885,59830,64543,61520,43558,20728,7573,1123,111096401
"2019-07",경기도,구리시,199265,16345,19116,27505,27578,33603,35905,22583,11399,4555,604,168770410
"2019-07",경기도,군포시,275852,22602,28069,38214,39877,45760,48316,30212,14536,7098,1100,1381109721
"2019-07",경기도,김포시,437221,52071,44797,47422,71134,80358,62744,43857,23886,9519,1367,38000
"2019-07",경기도,남양주시,701830,67577,77825,82728,92256,128868,113759,76344,42862,17010,2392,505461568
"2019-07",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,48917424
"2019-07",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,1957397844
"2019-07",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,56000
"2019-07",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,0
"2019-07",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,0
"2019-07",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,196512292
"2019-07",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,270377437
"2019-07",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,184712438
"2019-07",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,171832237
"2019-07",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,222000
"2019-07",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,562473093
"2019-07",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,366614056
"2019-07",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,112767870
"2019-07",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,10800
"2019-07",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-07",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,439208971
"2019-07",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,912786972
"2019-07",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,63197259
"2019-07",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,187039035
"2019-07",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,139800937
"2019-07",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,210938554
"2019-07",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,149457361
"2019-07",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,118740297
"2019-07",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,0
"2019-07",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,314861535
"2019-07",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,103880127
"2019-07",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,268997472
"2019-07",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,246850
"2019-07",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,0
"2019-07",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,1229811543
"2019-07",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,1373321105
"2019-08",경기도,가평군,62415,3607,4857,6174,5992,8097,11668,11209,6793,3479,494,59414003
"2019-08",경기도,고양시 덕양구,466157,38863,42557,62288,66204,78358,81204,51362,29459,13765,1900,858395337
"2019-08",경기도,고양시 일산동구,297671,21857,30872,44502,38563,52855,54813,29483,15174,8245,1247,758649708
"2019-08",경기도,고양시 일산서구,302523,24093,35571,42890,36850,54307,55106,28138,15636,8720,1160,693812364
"2019-08",경기도,과천시,58289,4507,6366,8023,7806,9209,10278,6498,3457,1740,356,153244767
"2019-08",경기도,광명시,316552,25724,33063,40950,45227,55010,52573,37128,18178,7485,1074,493100457
"2019-08",경기도,광주시,372654,36223,33577,43885,59830,64543,61520,43558,20728,7573,1123,133020908
"2019-08",경기도,구리시,199265,16345,19116,27505,27578,33603,35905,22583,11399,4555,604,164597721
"2019-08",경기도,군포시,275852,22602,28069,38214,39877,45760,48316,30212,14536,7098,1100,1233807069
"2019-08",경기도,김포시,437221,52071,44797,47422,71134,80358,62744,43857,23886,9519,1367,59000
"2019-08",경기도,남양주시,701830,67577,77825,82728,92256,128868,113759,76344,42862,17010,2392,468216446
"2019-08",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,45470698
"2019-08",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,2470132989
"2019-08",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,85100
"2019-08",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,0
"2019-08",경기도,성남시 중원구,220041,14246,17829,31528,32114,34411,39834,28942,14784,5345,838,9000
"2019-08",경기도,수원시 권선구,371754,34659,34800,55216,61001,61712,62658,36524,16855,7178,1066,320215733
"2019-08",경기도,수원시 영통구,368468,39097,43693,58836,64472,68605,53098,24268,10870,4762,736,412937324
"2019-08",경기도,수원시 장안구,278377,20092,30606,44388,34323,47404,49351,28535,15299,7160,1136,261983939
"2019-08",경기도,수원시 팔달구,175866,10457,14791,28171,25322,28252,30823,21123,11570,4581,689,224484580
"2019-08",경기도,시흥시,473682,46800,49958,66027,73824,86398,83034,40269,18027,8101,1155,225000
"2019-08",경기도,안산시 단원구,306305,22496,32427,48423,42003,52585,59200,30187,12295,5815,822,588285720
"2019-08",경기도,안산시 상록구,344613,23943,35705,56696,43859,58702,66939,33507,16224,7849,1136,396633146
"2019-08",경기도,안성시,183405,14940,18265,21456,23632,29912,30832,23032,13210,7164,912,137535822
"2019-08",경기도,안양시 동안구,322809,25926,35705,45794,46096,55506,56290,34410,14896,7033,1066,0
"2019-08",경기도,안양시 만안구,244235,16841,20067,35566,34566,36457,44938,32324,15850,6641,905,0
"2019-08",경기도,양주시,222314,19814,23932,26280,27614,38583,36809,26142,15620,6530,926,484304008
"2019-08",경기도,양평군,116874,7620,9758,10456,11218,16328,21018,20964,12635,5916,901,1059075677
"2019-08",경기도,여주시,111083,7716,9952,12067,12009,16168,20203,17022,10072,5090,746,58085570
"2019-08",경기도,연천군,43824,2939,3329,5468,4336,5081,7405,7090,5088,2660,387,232043342
"2019-08",경기도,오산시,226379,25263,24982,30421,40103,42013,32211,17936,9289,3681,433,136242804
"2019-08",경기도,용인시 기흥구,436679,45852,51788,53753,62536,84703,62919,38527,25166,9845,1532,225065185
"2019-08",경기도,용인시 수지구,369034,37277,45841,45272,52060,72284,52437,31650,22540,8377,1250,177496525
"2019-08",경기도,용인시 처인구,253896,22326,25472,33228,34881,43237,42536,28544,15473,7071,1059,116251374
"2019-08",경기도,의왕시,161153,13101,15162,22732,22132,24966,29639,19725,8856,4107,688,0
"2019-08",경기도,의정부시,451868,35273,43855,62512,59773,74630,78773,52089,30215,12832,1713,432439228
"2019-08",경기도,이천시,215834,19997,22678,28788,30864,34846,34933,23641,12758,6380,887,156899891
"2019-08",경기도,파주시,454040,45350,48620,55277,67819,79134,69622,45024,28086,13025,1901,434300068
"2019-08",경기도,평택시,513027,48243,53078,68938,76803,90095,83462,49617,27550,13163,1854,241200
"2019-08",경기도,포천시,148379,9318,13155,17892,15039,21459,29761,22285,12388,6107,906,20000
"2019-08",경기도,하남시,272455,29647,23632,32250,46837,47064,40433,31709,14678,5165,936,1041581534
"2019-08",경기도,화성시,815396,105609,92720,96872,149961,154886,107896,61875,30105,13536,1824,1740232993
"2019-09",경기도,가평군,62415,3607,4857,6174,5992,8097,11668,11209,6793,3479,494,127960013
"2019-09",경기도,고양시 덕양구,466157,38863,42557,62288,66204,78358,81204,51362,29459,13765,1900,1099322594
"2019-09",경기도,고양시 일산동구,297671,21857,30872,44502,38563,52855,54813,29483,15174,8245,1247,899319884
"2019-09",경기도,고양시 일산서구,302523,24093,35571,42890,36850,54307,55106,28138,15636,8720,1160,844116639
"2019-09",경기도,과천시,58289,4507,6366,8023,7806,9209,10278,6498,3457,1740,356,245375737
"2019-09",경기도,광명시,316552,25724,33063,40950,45227,55010,52573,37128,18178,7485,1074,459349337
"2019-09",경기도,광주시,372654,36223,33577,43885,59830,64543,61520,43558,20728,7573,1123,228518518
"2019-09",경기도,구리시,199265,16345,19116,27505,27578,33603,35905,22583,11399,4555,604,233989905
"2019-09",경기도,군포시,275852,22602,28069,38214,39877,45760,48316,30212,14536,7098,1100,1784455754
"2019-09",경기도,김포시,437221,52071,44797,47422,71134,80358,62744,43857,23886,9519,1367,85000
"2019-09",경기도,남양주시,701830,67577,77825,82728,92256,128868,113759,76344,42862,17010,2392,719990352
"2019-09",경기도,동두천시,94768,6922,9005,11201,10633,14939,16317,12345,8724,4037,565,78049359
"2019-09",경기도,부천시,829996,61998,74557,119747,121226,132971,150997,102122,44498,18755,2899,3074956014
"2019-09",경기도,성남시 분당구,488005,41685,55571,66982,72353,88598,76120,46825,25176,12402,2219,169000
"2019-09",경기도,성남시 수정구,234678,16074,17859,33877,35101,37301,40454,30747,16367,5843,864,0
